com_intellij_FileSetTestCase$ActualTest.java/[CN]/	com_intellij_testFramework_LightPlatformTestCase.java/[CN]/
com_intellij_GroupBasedTestClassFilter.java/[CN]/	com_intellij_TestClassesFilter.java/[CN]/
com_intellij_PatternListTestClassFilter.java/[CN]/	com_intellij_TestClassesFilter.java/[CN]/
com_intellij_TestClassesFilter$1.java/[CN]/	com_intellij_TestClassesFilter.java/[CN]/
com_intellij_analysis_AnalysisScopeRule.java/[CN]/	com_intellij_ide_impl_dataRules_GetDataRule.java/[CN]/
com_intellij_analysis_AnalysisUIOptions$2.java/[CN]/	com_intellij_analysis_AnalysisUIOptions$InspectionResultsViewToggleAction.java/[CN]/
com_intellij_analysis_AnalysisUIOptions$3.java/[CN]/	com_intellij_analysis_AnalysisUIOptions$InspectionResultsViewToggleAction.java/[CN]/
com_intellij_analysis_AnalysisUIOptions$4.java/[CN]/	com_intellij_analysis_AnalysisUIOptions$InspectionResultsViewToggleAction.java/[CN]/
com_intellij_analysis_BaseAnalysisAction$1.java/[CN]/	com_intellij_analysis_BaseAnalysisActionDialog.java/[CN]/
com_intellij_analysis_BaseClassesAnalysisAction.java/[CN]/	com_intellij_analysis_BaseAnalysisAction.java/[CN]/
com_intellij_application_options_CodeCompletionOptions.java/[CN]/	com_intellij_application_options_editor_EditorOptionsProvider.java/[CN]/
com_intellij_application_options_CodeStyleAbstractConfigurable.java/[CN]/	com_intellij_application_options_OptionsContainingConfigurable.java/[CN]/
com_intellij_application_options_CodeStyleGenerationConfigurable$MembersOrderList$1.java/[CN]/	com_intellij_application_options_CodeStyleGenerationConfigurable$MembersOrderList$PropertyManager.java/[CN]/
com_intellij_application_options_CodeStyleGenerationConfigurable$MembersOrderList$2.java/[CN]/	com_intellij_application_options_CodeStyleGenerationConfigurable$MembersOrderList$PropertyManager.java/[CN]/
com_intellij_application_options_CodeStyleGenerationConfigurable$MembersOrderList$3.java/[CN]/	com_intellij_application_options_CodeStyleGenerationConfigurable$MembersOrderList$PropertyManager.java/[CN]/
com_intellij_application_options_CodeStyleGenerationConfigurable$MembersOrderList$4.java/[CN]/	com_intellij_application_options_CodeStyleGenerationConfigurable$MembersOrderList$PropertyManager.java/[CN]/
com_intellij_application_options_CodeStyleGenerationConfigurable$MembersOrderList$5.java/[CN]/	com_intellij_application_options_CodeStyleGenerationConfigurable$MembersOrderList$PropertyManager.java/[CN]/
com_intellij_application_options_CodeStyleGenerationConfigurable$MembersOrderList$6.java/[CN]/	com_intellij_application_options_CodeStyleGenerationConfigurable$MembersOrderList$PropertyManager.java/[CN]/
com_intellij_application_options_CodeStyleGenerationConfigurable$MembersOrderList$7.java/[CN]/	com_intellij_application_options_CodeStyleGenerationConfigurable$MembersOrderList$PropertyManager.java/[CN]/
com_intellij_application_options_CodeStyleHtmlPanel.java/[CN]/	com_intellij_application_options_CodeStyleAbstractPanel.java/[CN]/
com_intellij_application_options_CodeStyleImportsPanel$1.java/[CN]/	com_intellij_application_options_ImportLayoutPanel.java/[CN]/
com_intellij_application_options_CodeStyleImportsPanelWrapper.java/[CN]/	com_intellij_application_options_CodeStyleAbstractPanel.java/[CN]/
com_intellij_application_options_CodeStyleSchemesConfigurable.java/[CN]/	com_intellij_application_options_OptionsContainingConfigurable.java/[CN]/
com_intellij_application_options_CodeStyleSchemesConfigurable$1.java/[CN]/	com_intellij_application_options_codeStyle_CodeStyleSettingsPanelFactory.java/[CN]/
com_intellij_application_options_CodeStyleSchemesConfigurable$2.java/[CN]/	com_intellij_application_options_codeStyle_CodeStyleSettingsListener.java/[CN]/
com_intellij_application_options_CodeStyleSchemesConfigurable$CodeStyleConfigurableWrapper.java/[CN]/	com_intellij_application_options_OptionsContainingConfigurable.java/[CN]/
com_intellij_application_options_CodeStyleXmlPanel.java/[CN]/	com_intellij_application_options_CodeStyleAbstractPanel.java/[CN]/
com_intellij_application_options_GeneralCodeStylePanel.java/[CN]/	com_intellij_application_options_CodeStyleAbstractPanel.java/[CN]/
com_intellij_application_options_GeneralCodeStyleSettingsProvider$1.java/[CN]/	com_intellij_application_options_CodeStyleAbstractConfigurable.java/[CN]/
com_intellij_application_options_HtmlCodeStyleMainPanel.java/[CN]/	com_intellij_application_options_TabbedLanguageCodeStylePanel.java/[CN]/
com_intellij_application_options_HtmlCodeStyleSettingsProvider$1.java/[CN]/	com_intellij_application_options_CodeStyleAbstractConfigurable.java/[CN]/
com_intellij_application_options_InitialConfigurationDialog$7.java/[CN]/	com_intellij_ui_AbstractTitledSeparatorWithIcon.java/[CN]/
com_intellij_application_options_InitialConfigurationDialog$MyColorPreviewPanel.java/[CN]/	com_intellij_openapi_vcs_changes_RefreshablePanel.java/[CN]/
com_intellij_application_options_JavaArrangementPanel.java/[CN]/	com_intellij_application_options_codeStyle_arrangement_ArrangementSettingsPanel.java/[CN]/
com_intellij_application_options_JavaCodeStyleMainPanel.java/[CN]/	com_intellij_application_options_TabbedLanguageCodeStylePanel.java/[CN]/
com_intellij_application_options_JavaCodeStyleSettingsProvider$1.java/[CN]/	com_intellij_application_options_CodeStyleAbstractConfigurable.java/[CN]/
com_intellij_application_options_JavaDocFormattingPanel.java/[CN]/	com_intellij_application_options_codeStyle_OptionTreeWithPreviewPanel.java/[CN]/
com_intellij_application_options_JavaOptionsApplicabilityFilter.java/[CN]/	com_intellij_application_options_OptionsApplicabilityFilter.java/[CN]/
com_intellij_application_options_JavadocOptionsProvider.java/[CN]/	com_intellij_application_options_editor_EditorOptionsProvider.java/[CN]/
com_intellij_application_options_ModulesComboBox$1.java/[CN]/	com_intellij_ui_ComboboxSpeedSearch.java/[CN]/
com_intellij_application_options_TabbedLanguageCodeStylePanel.java/[CN]/	com_intellij_application_options_CodeStyleAbstractPanel.java/[CN]/
com_intellij_application_options_TabbedLanguageCodeStylePanel$ConfigurableWrapper.java/[CN]/	com_intellij_application_options_CodeStyleAbstractPanel.java/[CN]/
com_intellij_application_options_TabbedLanguageCodeStylePanel$MyBlankLinesPanel.java/[CN]/	com_intellij_application_options_codeStyle_CodeStyleBlankLinesPanel.java/[CN]/
com_intellij_application_options_TabbedLanguageCodeStylePanel$MyIndentOptionsWrapper.java/[CN]/	com_intellij_application_options_CodeStyleAbstractPanel.java/[CN]/
com_intellij_application_options_TabbedLanguageCodeStylePanel$MySpacesPanel.java/[CN]/	com_intellij_application_options_codeStyle_CodeStyleSpacesPanel.java/[CN]/
com_intellij_application_options_TabbedLanguageCodeStylePanel$MyWrappingAndBracesPanel.java/[CN]/	com_intellij_application_options_codeStyle_WrappingAndBracesPanel.java/[CN]/
com_intellij_application_options_XmlAutoImportOptionsProvider.java/[CN]/	com_intellij_application_options_editor_AutoImportOptionsProvider.java/[CN]/
com_intellij_application_options_XmlCodeStyleMainPanel.java/[CN]/	com_intellij_application_options_TabbedLanguageCodeStylePanel.java/[CN]/
com_intellij_application_options_XmlCodeStyleSettingsProvider$1.java/[CN]/	com_intellij_application_options_CodeStyleAbstractConfigurable.java/[CN]/
com_intellij_application_options_codeStyle_CodeStyleBlankLinesPanel.java/[CN]/	com_intellij_application_options_codeStyle_CustomizableLanguageCodeStylePanel.java/[CN]/
