org_jivesoftware_database_DefaultConnectionProviderBeanInfo.java/[CN]/	org_jivesoftware_util_JiveBeanInfo.java/[CN]/
org_jivesoftware_admin_SubSidebarTag.java/[CN]/	org_jivesoftware_admin_SidebarTag.java/[CN]/
org_jivesoftware_util_WebManager.java/[CN]/	org_jivesoftware_util_WebBean.java/[CN]/
org_jivesoftware_util_cache_ComponentCacheWrapper.java/[CN]/	org_jivesoftware_util_cache_CacheWrapper.java/[CN]/
org_jivesoftware_openfire_disco_IQDiscoInfoHandler.java/[CN]/	org_jivesoftware_openfire_handler_IQHandler.java/[CN]/
org_jivesoftware_openfire_disco_DiscoServerItem.java/[CN]/	org_jivesoftware_openfire_disco_DiscoItem.java/[CN]/
org_jivesoftware_openfire_disco_IQDiscoItemsHandler.java/[CN]/	org_jivesoftware_openfire_handler_IQHandler.java/[CN]/
org_jivesoftware_openfire_commands_admin_GetNumberActiveUsers.java/[CN]/	org_jivesoftware_openfire_commands_AdHocCommand.java/[CN]/
org_jivesoftware_openfire_commands_admin_GetListActiveUsers.java/[CN]/	org_jivesoftware_openfire_commands_AdHocCommand.java/[CN]/
org_jivesoftware_openfire_commands_admin_GetNumberUserSessions.java/[CN]/	org_jivesoftware_openfire_commands_AdHocCommand.java/[CN]/
org_jivesoftware_openfire_commands_admin_muc_CreateMUCRoom.java/[CN]/	org_jivesoftware_openfire_commands_AdHocCommand.java/[CN]/
org_jivesoftware_openfire_commands_admin_GetNumberOnlineUsers.java/[CN]/	org_jivesoftware_openfire_commands_AdHocCommand.java/[CN]/
org_jivesoftware_openfire_commands_admin_GetServerStats.java/[CN]/	org_jivesoftware_openfire_commands_AdHocCommand.java/[CN]/
org_jivesoftware_openfire_commands_admin_PacketsNotification.java/[CN]/	org_jivesoftware_openfire_commands_AdHocCommand.java/[CN]/
org_jivesoftware_openfire_commands_admin_user_DeleteUser.java/[CN]/	org_jivesoftware_openfire_commands_AdHocCommand.java/[CN]/
org_jivesoftware_openfire_commands_admin_user_AddUser.java/[CN]/	org_jivesoftware_openfire_commands_AdHocCommand.java/[CN]/
org_jivesoftware_openfire_commands_admin_user_ChangeUserPassword.java/[CN]/	org_jivesoftware_openfire_commands_AdHocCommand.java/[CN]/
org_jivesoftware_openfire_commands_admin_user_UserProperties.java/[CN]/	org_jivesoftware_openfire_commands_AdHocCommand.java/[CN]/
org_jivesoftware_openfire_commands_admin_user_AuthenticateUser.java/[CN]/	org_jivesoftware_openfire_commands_AdHocCommand.java/[CN]/
org_jivesoftware_openfire_commands_admin_group_GetListGroupUsers.java/[CN]/	org_jivesoftware_openfire_commands_AdHocCommand.java/[CN]/
org_jivesoftware_openfire_commands_admin_group_DeleteGroupUsers.java/[CN]/	org_jivesoftware_openfire_commands_AdHocCommand.java/[CN]/
org_jivesoftware_openfire_commands_admin_group_GetListGroups.java/[CN]/	org_jivesoftware_openfire_commands_AdHocCommand.java/[CN]/
org_jivesoftware_openfire_commands_admin_group_AddGroup.java/[CN]/	org_jivesoftware_openfire_commands_AdHocCommand.java/[CN]/
org_jivesoftware_openfire_commands_admin_group_AddGroupUsers.java/[CN]/	org_jivesoftware_openfire_commands_AdHocCommand.java/[CN]/
org_jivesoftware_openfire_commands_admin_group_DeleteGroup.java/[CN]/	org_jivesoftware_openfire_commands_AdHocCommand.java/[CN]/
org_jivesoftware_openfire_commands_admin_group_UpdateGroup.java/[CN]/	org_jivesoftware_openfire_commands_AdHocCommand.java/[CN]/
org_jivesoftware_openfire_commands_admin_GetUsersPresence.java/[CN]/	org_jivesoftware_openfire_commands_AdHocCommand.java/[CN]/
org_jivesoftware_openfire_commands_admin_HttpBindStatus.java/[CN]/	org_jivesoftware_openfire_commands_AdHocCommand.java/[CN]/
org_jivesoftware_openfire_commands_admin_GetAdminConsoleInfo.java/[CN]/	org_jivesoftware_openfire_commands_AdHocCommand.java/[CN]/
org_jivesoftware_openfire_commands_AdHocCommandHandler.java/[CN]/	org_jivesoftware_openfire_handler_IQHandler.java/[CN]/
org_jivesoftware_openfire_commands_event_GroupCreated.java/[CN]/	org_jivesoftware_openfire_commands_AdHocCommand.java/[CN]/
org_jivesoftware_openfire_commands_event_GroupDeleting.java/[CN]/	org_jivesoftware_openfire_commands_AdHocCommand.java/[CN]/
org_jivesoftware_openfire_commands_event_UserCreated.java/[CN]/	org_jivesoftware_openfire_commands_AdHocCommand.java/[CN]/
org_jivesoftware_openfire_commands_event_GroupAdminAdded.java/[CN]/	org_jivesoftware_openfire_commands_AdHocCommand.java/[CN]/
org_jivesoftware_openfire_commands_event_VCardModified.java/[CN]/	org_jivesoftware_openfire_commands_AdHocCommand.java/[CN]/
org_jivesoftware_openfire_commands_event_VCardCreated.java/[CN]/	org_jivesoftware_openfire_commands_AdHocCommand.java/[CN]/
org_jivesoftware_openfire_commands_event_UserModified.java/[CN]/	org_jivesoftware_openfire_commands_AdHocCommand.java/[CN]/
org_jivesoftware_openfire_commands_event_GroupModified.java/[CN]/	org_jivesoftware_openfire_commands_AdHocCommand.java/[CN]/
