com_jwetherell_openmap_common_MGRSPoint.java/[CN]/	com_jwetherell_openmap_common_ZonedUTMPoint.java/[CN]/
com_jwetherell_openmap_common_ZonedUTMPoint.java/[CN]/	com_jwetherell_openmap_common_UTMPoint.java/[CN]/
com_google_protobuf_BoundedByteString.java/[CN]/	com_google_protobuf_LiteralByteString.java/[CN]/
com_google_protobuf_DynamicMessage.java/[CN]/	com_google_protobuf_AbstractMessage.java/[CN]/
com_google_protobuf_ExtensionRegistry.java/[CN]/	com_google_protobuf_ExtensionRegistryLite.java/[CN]/
com_google_protobuf_AbstractMessage.java/[CN]/	com_google_protobuf_AbstractMessageLite.java/[CN]/
com_google_protobuf_RopeByteString.java/[CN]/	com_google_protobuf_ByteString.java/[CN]/
com_google_protobuf_LiteralByteString.java/[CN]/	com_google_protobuf_ByteString.java/[CN]/
com_google_protobuf_GeneratedMessage.java/[CN]/	com_google_protobuf_AbstractMessage.java/[CN]/
com_google_protobuf_GeneratedMessageLite.java/[CN]/	com_google_protobuf_AbstractMessageLite.java/[CN]/
net_osmand_data_TransportStop.java/[CN]/	net_osmand_data_MapObject.java/[CN]/
net_osmand_data_City.java/[CN]/	net_osmand_data_MapObject.java/[CN]/
net_osmand_data_Amenity.java/[CN]/	net_osmand_data_MapObject.java/[CN]/
net_osmand_data_TransportRoute.java/[CN]/	net_osmand_data_MapObject.java/[CN]/
net_osmand_data_Street.java/[CN]/	net_osmand_data_MapObject.java/[CN]/
net_osmand_data_Building.java/[CN]/	net_osmand_data_MapObject.java/[CN]/
net_osmand_osm_PoiCategory.java/[CN]/	net_osmand_osm_PoiFilter.java/[CN]/
net_osmand_osm_PoiFilter.java/[CN]/	net_osmand_osm_AbstractPoiType.java/[CN]/
net_osmand_osm_PoiType.java/[CN]/	net_osmand_osm_AbstractPoiType.java/[CN]/
net_osmand_osm_edit_Relation.java/[CN]/	net_osmand_osm_edit_Entity.java/[CN]/
net_osmand_osm_edit_Way.java/[CN]/	net_osmand_osm_edit_Entity.java/[CN]/
net_osmand_osm_edit_Node.java/[CN]/	net_osmand_osm_edit_Entity.java/[CN]/
net_osmand_access_SettingsAccessibilityActivity.java/[CN]/	net_osmand_plus_activities_SettingsBaseActivity.java/[CN]/
net_osmand_access_AccessibilityPlugin.java/[CN]/	net_osmand_plus_OsmandPlugin.java/[CN]/
net_osmand_plus_base_OsmandExpandableListFragment.java/[CN]/	net_osmand_plus_base_BaseOsmAndFragment.java/[CN]/
net_osmand_plus_development_OsmandDevelopmentPlugin.java/[CN]/	net_osmand_plus_OsmandPlugin.java/[CN]/
net_osmand_plus_development_DashSimulateFragment.java/[CN]/	net_osmand_plus_dashboard_DashBaseFragment.java/[CN]/
net_osmand_plus_development_SettingsDevelopmentActivity.java/[CN]/	net_osmand_plus_activities_SettingsBaseActivity.java/[CN]/
net_osmand_plus_development_TestVoiceActivity.java/[CN]/	net_osmand_plus_activities_OsmandActionBarActivity.java/[CN]/
net_osmand_plus_monitoring_SettingsMonitoringActivity.java/[CN]/	net_osmand_plus_activities_SettingsBaseActivity.java/[CN]/
net_osmand_plus_monitoring_DashTrackFragment.java/[CN]/	net_osmand_plus_dashboard_DashBaseFragment.java/[CN]/
net_osmand_plus_monitoring_OsmandMonitoringPlugin.java/[CN]/	net_osmand_plus_OsmandPlugin.java/[CN]/
net_osmand_plus_osmo_SettingsOsMoActivity.java/[CN]/	net_osmand_plus_activities_SettingsBaseActivity.java/[CN]/
net_osmand_plus_osmo_DashOsMoFragment.java/[CN]/	net_osmand_plus_dashboard_DashLocationFragment.java/[CN]/
net_osmand_plus_osmo_OsMoMenuController.java/[CN]/	net_osmand_plus_mapcontextmenu_MenuController.java/[CN]/
net_osmand_plus_osmo_OsMoPositionLayer.java/[CN]/	net_osmand_plus_views_OsmandMapLayer.java/[CN]/
net_osmand_plus_osmo_OsMoGroupsActivity.java/[CN]/	net_osmand_plus_activities_OsmandExpandableListActivity.java/[CN]/
net_osmand_plus_osmo_OsMoPlugin.java/[CN]/	net_osmand_plus_OsmandPlugin.java/[CN]/
net_osmand_plus_myplaces_SelectedGPXFragment.java/[CN]/	net_osmand_plus_base_OsmAndListFragment.java/[CN]/
net_osmand_plus_myplaces_TrackRoutePointFragment.java/[CN]/	net_osmand_plus_myplaces_SelectedGPXFragment.java/[CN]/
net_osmand_plus_myplaces_TrackPointFragment.java/[CN]/	net_osmand_plus_myplaces_SelectedGPXFragment.java/[CN]/
net_osmand_plus_myplaces_AvailableGPXFragment.java/[CN]/	net_osmand_plus_base_OsmandExpandableListFragment.java/[CN]/
net_osmand_plus_myplaces_TrackSegmentFragment.java/[CN]/	net_osmand_plus_myplaces_SelectedGPXFragment.java/[CN]/
net_osmand_plus_myplaces_FavoritesActivity.java/[CN]/	net_osmand_plus_activities_TabActivity.java/[CN]/
net_osmand_plus_parkingpoint_ParkingPositionMenuController.java/[CN]/	net_osmand_plus_mapcontextmenu_MenuController.java/[CN]/
net_osmand_plus_parkingpoint_DashParkingFragment.java/[CN]/	net_osmand_plus_dashboard_DashLocationFragment.java/[CN]/
net_osmand_plus_parkingpoint_ParkingPositionPlugin.java/[CN]/	net_osmand_plus_OsmandPlugin.java/[CN]/
net_osmand_plus_parkingpoint_ParkingPositionLayer.java/[CN]/	net_osmand_plus_views_OsmandMapLayer.java/[CN]/
net_osmand_plus_routepointsnavigation_RoutePointsActivity.java/[CN]/	net_osmand_plus_activities_OsmandListActivity.java/[CN]/
