CommitId;RefactoringType;RefactoringDetail
18bf31b88c6c02915e0f86cb0280871aa8203f6d;Rename Variable;Rename Variable	m : Militar to militar : Militar in method private assinatura(a Alteracao, ii ImpressaoInfos) : void in class br.mil.eb.cds.sisbol.boletim.servico.impressao.NovaImpressaoAlteracao
18bf31b88c6c02915e0f86cb0280871aa8203f6d;Rename Variable;Rename Variable	campoMilitarAssinante : String to nomeCompleto : String in method private assinatura(a Alteracao, ii ImpressaoInfos) : void in class br.mil.eb.cds.sisbol.boletim.servico.impressao.NovaImpressaoAlteracao
18bf31b88c6c02915e0f86cb0280871aa8203f6d;Inline Method;Inline Method	private obterTextoMilitarAssociado(notaMilitar NotaMilitar) : String inlined to private militaresAssociados(nota Nota, militares HashMap<String,Militar>) : void in class br.mil.eb.cds.sisbol.boletim.servico.impressao.NovaImpressaoBoletim
18bf31b88c6c02915e0f86cb0280871aa8203f6d;Rename Variable;Rename Variable	nomeAssinante : String to nomeCompleto : String in method private assinante(boletim Boletim, militarHash HashMap<String,Militar>) : void in class br.mil.eb.cds.sisbol.boletim.servico.impressao.NovaImpressaoBoletim
18bf31b88c6c02915e0f86cb0280871aa8203f6d;Inline Method;Inline Method	private obterTextoMilitarAssociado(notaMilitar NotaMilitar) : String inlined to private militaresAssociados(nota Nota, militarHash HashMap<String,Militar>) : void in class br.mil.eb.cds.sisbol.boletim.servico.impressao.NovaImpressaoNota
18bf31b88c6c02915e0f86cb0280871aa8203f6d;Rename Variable;Rename Variable	campoMilitarAssinante : String to graduacao : String in method private publicante(nota Nota, militarHash HashMap<String,Militar>) : void in class br.mil.eb.cds.sisbol.boletim.servico.impressao.NovaImpressaoNota
18bf31b88c6c02915e0f86cb0280871aa8203f6d;Extract And Move Method;Extract And Move Method	public adicionarNomeMilitar(graduacao String, nomeCompleto String, nomeGuerra String, alinhamento int) : void extracted from private assinante(nota Nota, militarHash HashMap<String,Militar>) : void in class br.mil.eb.cds.sisbol.boletim.servico.impressao.NovaImpressaoNota & moved to class br.mil.eb.cds.sisbol.comum.impressao.DocumentoMilitar
e33b53065b61ca0d6b257977f6b5c92133e1c76a;Rename Method;Rename Method	package CabecalhoAlteracaoEvent(document Document, alteracao Alteracao, infos ImpressaoInfos) renamed to public montarTabela(document Document) : void in class br.mil.eb.cds.sisbol.boletim.servico.impressao.CabecalhoAlteracaoEvent
e33b53065b61ca0d6b257977f6b5c92133e1c76a;Rename Method;Rename Method	package CabecalhoAlternativoEvent(document Document, alteracao Alteracao, infos ImpressaoInfos) renamed to package montarTabela(document Document) : void in class br.mil.eb.cds.sisbol.boletim.servico.impressao.CabecalhoAlternativoEvent
46cefcb01642fb0fe1db0d94cf333cff18ddd780;Rename Variable;Rename Variable	textoAbertura : String to boletim : Boletim in method private adicionarAlteracao(alteracao Alteracao) : void in class br.mil.eb.cds.sisbol.boletim.servico.impressao.NovaImpressaoAlteracao
b1ebfd5087ad71f55ba1a3e90ec02e3be0189f9e;Extract Class;Extract Class	br.mil.eb.cds.sisbol.comum.impressao.DataUtil from class br.mil.eb.cds.sisbol.comum.impressao.DocumentoMilitar
b1ebfd5087ad71f55ba1a3e90ec02e3be0189f9e;Move Method;Move Method	public formatarDataPadrao(date Date) : String from class br.mil.eb.cds.sisbol.comum.impressao.DocumentoMilitar to public formatarDataPadrao(date Date) : String from class br.mil.eb.cds.sisbol.comum.impressao.DataUtil
