CommitId;RefactoringType;RefactoringDetail
0b34f587ee5e19c24b29a9c3e26374607ff05e8f;Move Method;Move Method	public mostrarQuadroDeCargos(qc QuadroDeCargosVO) : void from class br.mil.eb.cds.sisdot.qc.util.QuadroDeCargosUtil to public mostrarQuadroDeCargos(qc QuadroDeCargosVO) : void from class br.mil.eb.cds.sisdot.qc.modelo.vo.qc.FracaoQcVO
99cf19da83232bb80a57cb7c29cbe7e8d1336891;Move Method;Move Method	private mostrarArvoreFracoes(raiz FracaoQcVO, ident String) : void from class br.mil.eb.cds.sisdot.qc.util.QuadroDeCargosUtil to public mostrarArvoreFracoes(raiz FracaoQcVO, ident String) : void from class br.mil.eb.cds.sisdot.qc.modelo.vo.qc.FracaoQcVO
a056e21aad9f93f46eba6409c25fefd37fd3735b;Move Method;Move Method	private validarSigla(sigla Sigla) : void from class br.mil.eb.cds.sisdot.servico.SiglaFracaoServicoImpl to public validarSigla() : void from class br.mil.eb.cds.sisdot.qc.modelo.Sigla
750e6bcfa7f18970a604e7db2b786598eded3d16;Rename Class;Rename Class	br.mil.eb.cds.sisdot.relatorio.vo.QDMPRelatorioVO.FamiliaMterialQDMP renamed to br.mil.eb.cds.sisdot.relatorio.vo.QDMPRelatorioVO.FamiliaMaterialQDMP
dc7a64ba3ab4a1007524350b955dcaeac2d54ae3;Rename Variable;Rename Variable	qdmp : QuadroDotacaoMaterialPrevisto to qdmps : List<QuadroDotacaoMaterialPrevisto> in method public pesquisar() : void in class br.mil.eb.cds.sisdot.beans.qdmp.QuadroDotacaoMaterialPrevistoListagemMB
a05d541672d159536687147dad82a919b074e7e8;Rename Attribute;Rename Attribute	siglaFracao : String to siglaCargoQc : String in class br.mil.eb.cds.sisdot.chamador.modelo.vo.RegraChamadorVO
a05d541672d159536687147dad82a919b074e7e8;Rename Attribute;Rename Attribute	siglaSubCirculo : String to siglaFracaoQc : String in class br.mil.eb.cds.sisdot.chamador.modelo.vo.RegraChamadorVO
a05d541672d159536687147dad82a919b074e7e8;Rename Variable;Rename Variable	numeroFracao : Long to noFracao : NoArvore in method private toRegra(node TreeNode) : RegraChamadorVO in class br.mil.eb.cds.sisdot.beans.chamador.ChamadorArvoreMB
1860329c1c392ff2b6046312fd7607d678b24d87;Rename Method;Rename Method	public getGrupo() : String renamed to public getSiglaSubNatureza() : String in class br.mil.eb.cds.sisdot.chamador.modelo.vo.RegraChamadorVO
1860329c1c392ff2b6046312fd7607d678b24d87;Rename Method;Rename Method	public setGrupo(grupo String) : void renamed to public setSiglaSubNatureza(siglaSubNatureza String) : void in class br.mil.eb.cds.sisdot.chamador.modelo.vo.RegraChamadorVO
1860329c1c392ff2b6046312fd7607d678b24d87;Rename Parameter;Rename Parameter	grupo : String to siglaSubNatureza : String in method public setSiglaSubNatureza(siglaSubNatureza String) : void in class br.mil.eb.cds.sisdot.chamador.modelo.vo.RegraChamadorVO
1860329c1c392ff2b6046312fd7607d678b24d87;Rename Attribute;Rename Attribute	quantidade : Integer to siglaCargo : String in class br.mil.eb.cds.sisdot.chamador.modelo.vo.RegraChamadorVO
e01df8764a238f58a9ba4ad35bed446943584844;Extract Method;Extract Method	private geraCabecalhoTabela(vo QDMPRelatorioVO, tabelaDetalhamento PdfPTable) : void extracted from private adicionaDetalhes(vo QDMPRelatorioVO, document Document) : void in class br.mil.eb.cds.sisdot.relatorio.helper.QDMPPDFRelatorio
e01df8764a238f58a9ba4ad35bed446943584844;Parameterize Variable;Parameterize Variable	tableDetails : PdfPTable to tabelaDetalhamento : PdfPTable in method private geraCabecalhoTabela(vo QDMPRelatorioVO, tabelaDetalhamento PdfPTable) : void in class br.mil.eb.cds.sisdot.relatorio.helper.QDMPPDFRelatorio
e01df8764a238f58a9ba4ad35bed446943584844;Extract Method;Extract Method	private adicionaClassesMaterial(vo QDMPRelatorioVO, tabelaDetalhamento PdfPTable) : void extracted from private adicionaDetalhes(vo QDMPRelatorioVO, document Document) : void in class br.mil.eb.cds.sisdot.relatorio.helper.QDMPPDFRelatorio
e01df8764a238f58a9ba4ad35bed446943584844;Pull Up Attribute;Pull Up Attribute	public LOGO_PATH : String from class br.mil.eb.cds.sisdot.relatorio.helper.QDMPDFRelatorio to class br.mil.eb.cds.sisdot.relatorio.helper.PDFRelatorioAbstrato
e01df8764a238f58a9ba4ad35bed446943584844;Pull Up Attribute;Pull Up Attribute	public QC_BACKGROUND : BaseColor from class br.mil.eb.cds.sisdot.relatorio.helper.QDMPDFRelatorio to class br.mil.eb.cds.sisdot.relatorio.helper.PDFRelatorioAbstrato
e01df8764a238f58a9ba4ad35bed446943584844;Pull Up Attribute;Pull Up Attribute	public CLASSE_BACKGROUND : BaseColor from class br.mil.eb.cds.sisdot.relatorio.helper.QDMPDFRelatorio to class br.mil.eb.cds.sisdot.relatorio.helper.PDFRelatorioAbstrato
e01df8764a238f58a9ba4ad35bed446943584844;Pull Up Attribute;Pull Up Attribute	public FRACAO_BACKGROUND : BaseColor from class br.mil.eb.cds.sisdot.relatorio.helper.QDMPDFRelatorio to class br.mil.eb.cds.sisdot.relatorio.helper.PDFRelatorioAbstrato
e01df8764a238f58a9ba4ad35bed446943584844;Pull Up Attribute;Pull Up Attribute	public COR_FONTE_VERMELHA : BaseColor from class br.mil.eb.cds.sisdot.relatorio.helper.QDMPDFRelatorio to class br.mil.eb.cds.sisdot.relatorio.helper.PDFRelatorioAbstrato
e01df8764a238f58a9ba4ad35bed446943584844;Pull Up Method;Pull Up Method	private geraPrimeiraLinhaCabecalho(tableHeader PdfPTable) : void from class br.mil.eb.cds.sisdot.relatorio.helper.QDMPDFRelatorio to protected geraPrimeiraLinhaCabecalho(tableHeader PdfPTable) : void from class br.mil.eb.cds.sisdot.relatorio.helper.PDFRelatorioAbstrato
e01df8764a238f58a9ba4ad35bed446943584844;Pull Up Method;Pull Up Method	private geraSegundaLinhaCabecalho(tableHeader PdfPTable) : void from class br.mil.eb.cds.sisdot.relatorio.helper.QDMPDFRelatorio to protected geraSegundaLinhaCabecalho(tableHeader PdfPTable) : void from class br.mil.eb.cds.sisdot.relatorio.helper.PDFRelatorioAbstrato
e01df8764a238f58a9ba4ad35bed446943584844;Pull Up Method;Pull Up Method	private geraTerceiraLinhaCabecalho(tableHeader PdfPTable) : void from class br.mil.eb.cds.sisdot.relatorio.helper.QDMPDFRelatorio to protected geraTerceiraLinhaCabecalho(tableHeader PdfPTable, produto String) : void from class br.mil.eb.cds.sisdot.relatorio.helper.PDFRelatorioAbstrato
e01df8764a238f58a9ba4ad35bed446943584844;Pull Up Method;Pull Up Method	private geraQuartaLinhaCabecalho(nomeFracao String, tableHeader PdfPTable) : void from class br.mil.eb.cds.sisdot.relatorio.helper.QDMPDFRelatorio to protected geraQuartaLinhaCabecalho(nomeFracao String, tableHeader PdfPTable) : void from class br.mil.eb.cds.sisdot.relatorio.helper.PDFRelatorioAbstrato
