im.actor.runtime.clc.ClcListStorage.loadSlice(im.actor.runtime.clc.Cursor);Cursor
im.actor.core.modules.AbsModule.buildApiPeer(im.actor.core.entity.Peer);Peer
im.actor.core.modules.ModuleActor.buildApiPeer(im.actor.core.entity.Peer);Peer
im.actor.core.modules.settings.SettingsModule.getChatKey(im.actor.core.entity.Peer);Peer
im.actor.runtime.markdown.MarkdownParser.addText(im.actor.runtime.markdown.MarkdownParser.TextCursor, int, java.util.ArrayList<im.actor.runtime.markdown.MDText>);TextCursor
im.actor.core.modules.encryption.EncryptedSessionActor.decrypt(im.actor.core.modules.encryption.session.EncryptedSessionChain, byte[]);EncryptedSessionChain
im.actor.core.modules.encryption.KeyManagerActor.validateUserKeysGroup(int, im.actor.core.api.ApiEncryptionKeyGroup);ApiEncryptionKeyGroup
im.actor.runtime.json.JSONArray.writeTo(im.actor.runtime.json.JSONStringer);JSONStringer
im.actor.runtime.json.JSONObject.writeTo(im.actor.runtime.json.JSONStringer);JSONStringer
im.actor.core.modules.encryption.KeyManagerActor.fetchOwnIdentity();PrivateKeyStorage
im.actor.core.modules.encryption.SessionManagerActor.spawnSession(int, int, int, im.actor.core.modules.encryption.entity.PrivateKey, im.actor.core.modules.encryption.entity.PublicKey, im.actor.core.modules.encryption.entity.PrivateKey, im.actor.core.modules.encryption.entity.PublicKey);PrivateKey
im.actor.core.modules.encryption.SessionManagerActor.spawnSession(int, int, int, im.actor.core.modules.encryption.entity.PrivateKey, im.actor.core.modules.encryption.entity.PublicKey, im.actor.core.modules.encryption.entity.PrivateKey, im.actor.core.modules.encryption.entity.PublicKey);PublicKey
im.actor.core.modules.typing.TypingProcessor.onTyping(im.actor.core.api.ApiPeer, int, im.actor.core.api.ApiTypingType);ApiPeer
im.actor.core.modules.typing.TypingProcessor.onTypingStop(im.actor.core.api.ApiPeer, int, im.actor.core.api.ApiTypingType);ApiPeer
im.actor.core.modules.typing.TypingProcessor.onMessage(im.actor.core.api.ApiPeer, int);ApiPeer
