Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	im.actor.runtime.clc.ClcListStorage::loadSlice(im.actor.runtime.clc.Cursor):java.util.ArrayList<im.actor.runtime.storage.ListEngineRecord>	im.actor.runtime.clc.Cursor	0/4	
Move Method	im.actor.core.modules.AbsModule::buildApiPeer(im.actor.core.entity.Peer):im.actor.core.api.ApiPeer	im.actor.core.entity.Peer	0/2	
Move Method	im.actor.core.modules.ModuleActor::buildApiPeer(im.actor.core.entity.Peer):im.actor.core.api.ApiPeer	im.actor.core.entity.Peer	0/2	
Move Method	im.actor.core.modules.settings.SettingsModule::getChatKey(im.actor.core.entity.Peer):java.lang.String	im.actor.core.entity.Peer	0/2	
Move Method	im.actor.runtime.markdown.MarkdownParser::addText(im.actor.runtime.markdown.MarkdownParser.TextCursor, int, java.util.ArrayList<im.actor.runtime.markdown.MDText>):void	im.actor.runtime.markdown.MarkdownParser.TextCursor	0/2	
Move Method	im.actor.core.modules.encryption.EncryptedSessionActor::decrypt(im.actor.core.modules.encryption.session.EncryptedSessionChain, byte[]):im.actor.core.modules.encryption.EncryptedSessionActor.DecryptedPackage	im.actor.core.modules.encryption.session.EncryptedSessionChain	0/1	
Move Method	im.actor.core.modules.encryption.KeyManagerActor::validateUserKeysGroup(int, im.actor.core.api.ApiEncryptionKeyGroup):im.actor.core.modules.encryption.entity.UserKeysGroup	im.actor.core.api.ApiEncryptionKeyGroup	1/4	
Move Method	im.actor.runtime.json.JSONArray::writeTo(im.actor.runtime.json.JSONStringer):void	im.actor.runtime.json.JSONStringer	1/3	
Move Method	im.actor.runtime.json.JSONObject::writeTo(im.actor.runtime.json.JSONStringer):void	im.actor.runtime.json.JSONStringer	1/3	
Move Method	im.actor.core.modules.encryption.KeyManagerActor::fetchOwnIdentity():im.actor.runtime.promise.Promise<im.actor.core.modules.encryption.KeyManagerActor.OwnIdentity>	im.actor.core.modules.encryption.entity.PrivateKeyStorage	1/2	
Move Method	im.actor.core.modules.encryption.SessionManagerActor::spawnSession(int, int, int, im.actor.core.modules.encryption.entity.PrivateKey, im.actor.core.modules.encryption.entity.PublicKey, im.actor.core.modules.encryption.entity.PrivateKey, im.actor.core.modules.encryption.entity.PublicKey):im.actor.core.entity.encryption.PeerSession	im.actor.core.modules.encryption.entity.PrivateKey	1/2	
Move Method	im.actor.core.modules.encryption.SessionManagerActor::spawnSession(int, int, int, im.actor.core.modules.encryption.entity.PrivateKey, im.actor.core.modules.encryption.entity.PublicKey, im.actor.core.modules.encryption.entity.PrivateKey, im.actor.core.modules.encryption.entity.PublicKey):im.actor.core.entity.encryption.PeerSession	im.actor.core.modules.encryption.entity.PublicKey	1/2	
Move Method	im.actor.core.modules.typing.TypingProcessor::onTyping(im.actor.core.api.ApiPeer, int, im.actor.core.api.ApiTypingType):void	im.actor.core.api.ApiPeer	1/2	
Move Method	im.actor.core.modules.typing.TypingProcessor::onTypingStop(im.actor.core.api.ApiPeer, int, im.actor.core.api.ApiTypingType):void	im.actor.core.api.ApiPeer	1/2	
Move Method	im.actor.core.modules.typing.TypingProcessor::onMessage(im.actor.core.api.ApiPeer, int):void	im.actor.core.api.ApiPeer	1/2	
Move Method	im.actor.runtime.intl.IntlEngine::traverseObject(java.util.HashMap<java.lang.String,java.lang.String>, im.actor.runtime.json.JSONObject, java.lang.String):void	im.actor.runtime.json.JSONObject	1/2	
Move Method	im.actor.runtime.markdown.MarkdownParser::findFormattedUrl(im.actor.runtime.markdown.MarkdownParser.TextCursor, int):im.actor.runtime.markdown.MarkdownParser.TitledUrl	im.actor.runtime.markdown.MarkdownParser.TextCursor	1/2	
Move Method	im.actor.runtime.markdown.MarkdownParser::findUrl(im.actor.runtime.markdown.MarkdownParser.TextCursor, int):im.actor.runtime.markdown.MarkdownParser.BasicUrl	im.actor.runtime.markdown.MarkdownParser.TextCursor	1/2	
Move Method	im.actor.core.modules.encryption.EncryptedSessionActor::encrypt(im.actor.core.modules.encryption.session.EncryptedSessionChain, byte[]):im.actor.core.modules.encryption.EncryptedSessionActor.EncryptedPackageRes	im.actor.core.modules.encryption.session.EncryptedSessionChain	2/3	
Move Method	im.actor.runtime.actors.dispatch.ActorDispatcher::processEnvelope(im.actor.runtime.actors.dispatch.Envelope):void	im.actor.runtime.actors.dispatch.Envelope	2/3	
