Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	org.broadleafcommerce.openadmin.web.service.FormBuilderServiceImpl::createHeaderField(org.broadleafcommerce.openadmin.dto.Property, org.broadleafcommerce.openadmin.dto.BasicFieldMetadata):org.broadleafcommerce.openadmin.web.form.entity.Field	org.broadleafcommerce.openadmin.dto.BasicFieldMetadata	0/9	
Move Method	org.broadleafcommerce.openadmin.server.service.persistence.module.provider.MapFieldPersistenceProvider::getStartingValueType(org.broadleafcommerce.openadmin.server.service.persistence.module.provider.request.PopulateValueRequest):java.lang.Class<?>	org.broadleafcommerce.openadmin.server.service.persistence.module.provider.request.PopulateValueRequest	0/3	
Move Method	org.broadleafcommerce.openadmin.server.service.persistence.module.provider.MediaFieldPersistenceProvider::getStartingValueType(org.broadleafcommerce.openadmin.server.service.persistence.module.provider.request.PopulateValueRequest):java.lang.Class<?>	org.broadleafcommerce.openadmin.server.service.persistence.module.provider.request.PopulateValueRequest	0/3	
Move Method	org.broadleafcommerce.openadmin.server.service.persistence.module.provider.RuleFieldPersistenceProvider::getStartingValueType(org.broadleafcommerce.openadmin.server.service.persistence.module.provider.request.PopulateValueRequest):java.lang.Class<?>	org.broadleafcommerce.openadmin.server.service.persistence.module.provider.request.PopulateValueRequest	0/3	
Move Method	org.broadleafcommerce.openadmin.web.rulebuilder.DataDTOToMVELTranslator::extractDate(org.broadleafcommerce.openadmin.web.rulebuilder.dto.ExpressionDTO, org.broadleafcommerce.openadmin.web.rulebuilder.BLCOperator, java.lang.String):java.lang.Object[]	org.broadleafcommerce.openadmin.web.rulebuilder.dto.ExpressionDTO	0/3	
Move Method	org.broadleafcommerce.openadmin.web.rulebuilder.MVELToDataWrapperTranslator::createExpressionDTO(org.broadleafcommerce.openadmin.web.rulebuilder.statement.Expression):org.broadleafcommerce.openadmin.web.rulebuilder.dto.ExpressionDTO	org.broadleafcommerce.openadmin.web.rulebuilder.statement.Expression	0/3	
Move Method	org.broadleafcommerce.openadmin.server.dao.provider.metadata.BasicFieldMetadataProvider::processValidationAnnotations(org.broadleafcommerce.common.presentation.ValidationConfiguration[], org.broadleafcommerce.openadmin.dto.override.FieldMetadataOverride):void	org.broadleafcommerce.openadmin.dto.override.FieldMetadataOverride	0/2	
Move Method	org.broadleafcommerce.openadmin.server.security.handler.AdminPermissionCustomPersistenceHandler::addDefaultSort(org.broadleafcommerce.openadmin.dto.CriteriaTransferObject):void	org.broadleafcommerce.openadmin.dto.CriteriaTransferObject	0/2	
Move Method	org.broadleafcommerce.openadmin.server.service.handler.CustomPersistenceHandlerAdapter::getMetadata(org.broadleafcommerce.openadmin.dto.PersistencePackage, org.broadleafcommerce.openadmin.server.service.persistence.module.InspectHelper):java.util.Map<java.lang.String,org.broadleafcommerce.openadmin.dto.FieldMetadata>	org.broadleafcommerce.openadmin.dto.PersistencePackage	0/2	
Move Method	org.broadleafcommerce.openadmin.server.service.persistence.PersistenceManagerImpl::setMainEntityName(org.broadleafcommerce.openadmin.dto.PersistencePackage, org.broadleafcommerce.openadmin.dto.Entity):void	org.broadleafcommerce.openadmin.dto.PersistencePackage	0/2	
