Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	org.apache.cassandra.streaming.messages.FileMessageHeader.FileMessageHeaderSerializer::serialize(org.apache.cassandra.streaming.messages.FileMessageHeader, org.apache.cassandra.io.util.DataOutputPlus, int):org.apache.cassandra.streaming.compress.CompressionInfo	org.apache.cassandra.streaming.messages.FileMessageHeader	0/10	
Move Method	org.apache.cassandra.streaming.messages.FileMessageHeader.FileMessageHeaderSerializer::serializedSize(org.apache.cassandra.streaming.messages.FileMessageHeader, int):long	org.apache.cassandra.streaming.messages.FileMessageHeader	0/9	
Move Method	org.apache.cassandra.io.sstable.IndexSummary.IndexSummarySerializer::serialize(org.apache.cassandra.io.sstable.IndexSummary, org.apache.cassandra.io.util.DataOutputPlus, boolean):void	org.apache.cassandra.io.sstable.IndexSummary	0/8	
Move Method	org.apache.cassandra.db.rows.Cell.Serializer::serializedSize(org.apache.cassandra.db.rows.Cell, org.apache.cassandra.config.ColumnDefinition, org.apache.cassandra.db.LivenessInfo, org.apache.cassandra.db.SerializationHeader):long	org.apache.cassandra.db.rows.Cell	0/7	
Move Method	org.apache.cassandra.tools.nodetool.Ring::printDc(org.apache.cassandra.tools.NodeProbe, java.lang.String, java.lang.String, com.google.common.collect.LinkedHashMultimap<java.lang.String,java.lang.String>, org.apache.cassandra.tools.nodetool.SetHostStat, boolean):void	org.apache.cassandra.tools.NodeProbe	0/7	
Move Method	org.apache.cassandra.cql3.QueryOptions.Codec::gatherFlags(org.apache.cassandra.cql3.QueryOptions):java.util.EnumSet<org.apache.cassandra.cql3.QueryOptions.Codec.Flag>	org.apache.cassandra.cql3.QueryOptions	0/6	
Move Method	org.apache.cassandra.db.rows.EncodingStats.Serializer::serialize(org.apache.cassandra.db.rows.EncodingStats, org.apache.cassandra.io.util.DataOutputPlus):void	org.apache.cassandra.db.rows.EncodingStats	0/6	
Move Method	org.apache.cassandra.db.rows.EncodingStats.Serializer::serializedSize(org.apache.cassandra.db.rows.EncodingStats):int	org.apache.cassandra.db.rows.EncodingStats	0/6	
Move Method	org.apache.cassandra.stress.report.StressMetrics::record(org.apache.cassandra.stress.report.TimingInterval, long, long, long, long, long, boolean):void	org.apache.cassandra.stress.report.TimingInterval	0/6	
Move Method	org.apache.cassandra.db.commitlog.CommitLogReplayer.MutationInitiator::initiateMutation(org.apache.cassandra.db.Mutation, long, int, int, org.apache.cassandra.db.commitlog.CommitLogReplayer):java.util.concurrent.Future<java.lang.Integer>	org.apache.cassandra.db.commitlog.CommitLogReplayer	0/5	
Move Method	org.apache.cassandra.thrift.CassandraServer::thriftifySubColumn(org.apache.cassandra.db.LegacyLayout.LegacyCell, java.nio.ByteBuffer):org.apache.cassandra.thrift.Column	org.apache.cassandra.db.LegacyLayout.LegacyCell	0/5	
Move Method	org.apache.cassandra.cql3.QueryProcessor::processBatch(org.apache.cassandra.cql3.statements.BatchStatement, org.apache.cassandra.service.QueryState, org.apache.cassandra.cql3.BatchQueryOptions, long):org.apache.cassandra.transport.messages.ResultMessage	org.apache.cassandra.cql3.statements.BatchStatement	0/4	
Move Method	org.apache.cassandra.thrift.CassandraServer::toLegacyCell(org.apache.cassandra.config.CFMetaData, java.nio.ByteBuffer, org.apache.cassandra.thrift.Column, int):org.apache.cassandra.db.LegacyLayout.LegacyCell	org.apache.cassandra.thrift.Column	0/4	
Move Method	org.apache.cassandra.db.Columns.Serializer::deserializeLargeSubset(org.apache.cassandra.io.util.DataInputPlus, org.apache.cassandra.db.Columns, int):org.apache.cassandra.db.Columns	org.apache.cassandra.db.Columns	0/3	
Move Method	org.apache.cassandra.db.aggregation.GroupingState.Serializer::serialize(org.apache.cassandra.db.aggregation.GroupingState, org.apache.cassandra.io.util.DataOutputPlus, int, org.apache.cassandra.db.ClusteringComparator):void	org.apache.cassandra.db.aggregation.GroupingState	0/3	
Move Method	org.apache.cassandra.db.aggregation.GroupingState.Serializer::serializedSize(org.apache.cassandra.db.aggregation.GroupingState, int, org.apache.cassandra.db.ClusteringComparator):long	org.apache.cassandra.db.aggregation.GroupingState	0/3	
