com.google.javascript.jscomp.Es6ToEs3Converter.updateClassJsDoc(com.google.javascript.rhino.JSDocInfo, com.google.javascript.rhino.JSDocInfoBuilder);JSDocInfoBuilder
com.google.javascript.jscomp.CheckJSDoc.getFunctionDecl(com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.PureFunctionIdentifier.CallSitePropagationInfo.propagate(com.google.javascript.jscomp.PureFunctionIdentifier.FunctionInformation, com.google.javascript.jscomp.PureFunctionIdentifier.FunctionInformation);FunctionInformation
com.google.javascript.jscomp.CheckRequiresForConstructors.declaresFunctionOrClass(com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.parsing.IRFactory.setSourceInfo(com.google.javascript.rhino.Node, com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.InlineVariables.InliningBehavior.replaceChildPreserveCast(com.google.javascript.rhino.Node, com.google.javascript.rhino.Node, com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.CheckJSDoc.hasClassLevelJsDoc(com.google.javascript.rhino.JSDocInfo);JSDocInfo
com.google.javascript.jscomp.ClosureCheckModule.isExportLhs(com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.Es6ToEs3Converter.getTypeFromGetterOrSetter(com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.GlobalTypeInfo.ProcessScope.getNodeNameForConstWarning(com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.J2clClinitPrunerPass.RedundantClinitPruner.isNewControlBranch(com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.parsing.IRFactory.setSourceInfo(com.google.javascript.rhino.Node, com.google.javascript.jscomp.parsing.parser.util.SourcePosition, com.google.javascript.jscomp.parsing.parser.util.SourcePosition);Node
com.google.javascript.rhino.jstype.UnionTypeBuilder.isSubtype(com.google.javascript.rhino.jstype.JSType, com.google.javascript.rhino.jstype.JSType, boolean);JSType
com.google.javascript.jscomp.AnalyzePrototypeProperties.ProcessProperties.isGlobalFunctionDeclaration(com.google.javascript.jscomp.NodeTraversal, com.google.javascript.rhino.Node);NodeTraversal
com.google.javascript.jscomp.BranchCoverageInstrumentationCallback.processBranchInfo(com.google.javascript.rhino.Node, com.google.javascript.jscomp.FileInstrumentationData, java.util.List<com.google.javascript.rhino.Node>);FileInstrumentationData
com.google.javascript.jscomp.DartSuperAccessorsPass.isSuperGet(com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.DeadAssignmentsElimination.isRemovableAssign(com.google.javascript.rhino.Node);Node
