Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	edu.stanford.nlp.pipeline.ProtobufAnnotationSerializer::fromProtoNoTokens(edu.stanford.nlp.pipeline.CoreNLPProtos.Mention):edu.stanford.nlp.coref.data.Mention	edu.stanford.nlp.pipeline.CoreNLPProtos.Mention	0/29	
Move Method	edu.stanford.nlp.pipeline.ProtobufAnnotationSerializer::fromProto(edu.stanford.nlp.pipeline.CoreNLPProtos.Entity, edu.stanford.nlp.util.CoreMap):edu.stanford.nlp.ie.machinereading.structure.EntityMention	edu.stanford.nlp.pipeline.CoreNLPProtos.Entity	0/20	
Move Method	edu.stanford.nlp.pipeline.ProtobufAnnotationSerializer::fromProto(edu.stanford.nlp.pipeline.CoreNLPProtos.Relation, edu.stanford.nlp.util.CoreMap):edu.stanford.nlp.ie.machinereading.structure.RelationMention	edu.stanford.nlp.pipeline.CoreNLPProtos.Relation	0/15	
Move Method	edu.stanford.nlp.pipeline.ProtobufAnnotationSerializer::fromProto(edu.stanford.nlp.pipeline.CoreNLPProtos.Timex):edu.stanford.nlp.time.Timex	edu.stanford.nlp.pipeline.CoreNLPProtos.Timex	0/14	
Move Method	edu.stanford.nlp.pipeline.ProtobufAnnotationSerializer::toProto(edu.stanford.nlp.ie.machinereading.structure.EntityMention):edu.stanford.nlp.pipeline.CoreNLPProtos.Entity	edu.stanford.nlp.ie.machinereading.structure.EntityMention	0/9	
Move Method	edu.stanford.nlp.pipeline.ProtobufAnnotationSerializer::toProto(edu.stanford.nlp.time.Timex):edu.stanford.nlp.pipeline.CoreNLPProtos.Timex	edu.stanford.nlp.time.Timex	0/7	
Move Method	edu.stanford.nlp.parser.nndep.ArcStandard::canReach(edu.stanford.nlp.parser.nndep.Configuration, edu.stanford.nlp.parser.nndep.DependencyTree):boolean	edu.stanford.nlp.parser.nndep.Configuration	0/6	
Move Method	edu.stanford.nlp.coref.neural.CategoricalFeatureExtractor::getMentionFeatures(edu.stanford.nlp.coref.data.Mention, edu.stanford.nlp.coref.data.Document, java.util.Map<java.lang.Integer,java.util.List<edu.stanford.nlp.coref.data.Mention>>):org.ejml.simple.SimpleMatrix	edu.stanford.nlp.coref.data.Mention	0/5	
Move Method	edu.stanford.nlp.pipeline.ProtobufAnnotationSerializer::fromProto(edu.stanford.nlp.pipeline.CoreNLPProtos.CorefChain, edu.stanford.nlp.pipeline.Annotation):edu.stanford.nlp.coref.data.CorefChain	edu.stanford.nlp.pipeline.CoreNLPProtos.CorefChain	0/5	
Move Method	edu.stanford.nlp.coref.docreader.CoNLLDocumentReader::makeDocInfo(edu.stanford.nlp.coref.docreader.CoNLLDocumentReader.CoNLLDocument):java.util.Map<java.lang.String,java.lang.String>	edu.stanford.nlp.coref.docreader.CoNLLDocumentReader.CoNLLDocument	0/4	
