Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	org.drools.compiler.builder.impl.KnowledgeBuilderImpl::addRule(org.drools.compiler.rule.builder.RuleBuildContext):java.util.List<? extends org.kie.internal.builder.KnowledgeBuilderResult>	org.drools.compiler.rule.builder.RuleBuildContext	0/7	
Move Method	org.drools.compiler.rule.builder.QueryBuilder::build(org.drools.compiler.rule.builder.RuleBuildContext, org.drools.compiler.lang.descr.QueryDescr):org.drools.core.rule.Pattern	org.drools.compiler.lang.descr.QueryDescr	0/5	
Move Method	org.drools.compiler.rule.builder.dialect.java.JavaAccumulateBuilder::bindReaderToDeclaration(org.drools.compiler.rule.builder.RuleBuildContext, org.drools.compiler.lang.descr.AccumulateDescr, org.drools.core.rule.Pattern, org.drools.compiler.lang.descr.AccumulateDescr.AccumulateFunctionCallDescr, org.drools.core.spi.InternalReadAccessor, java.lang.Class<?>, int):void	org.drools.compiler.rule.builder.RuleBuildContext	0/5	
Move Method	org.drools.compiler.rule.builder.PatternBuilder::buildEval(org.drools.compiler.rule.builder.RuleBuildContext, org.drools.core.rule.Pattern, org.drools.compiler.lang.descr.PredicateDescr, java.util.Map<java.lang.String,org.drools.compiler.lang.descr.OperatorDescr>, java.lang.String, boolean):org.drools.core.spi.Constraint	org.drools.compiler.rule.builder.RuleBuildContext	0/4	
Move Method	org.drools.compiler.kie.builder.impl.AbstractKieModule::getKnowledgeBaseConfiguration(org.drools.compiler.kproject.models.KieBaseModelImpl, java.lang.ClassLoader):org.kie.api.KieBaseConfiguration	org.drools.compiler.kproject.models.KieBaseModelImpl	0/3	
Move Method	org.drools.compiler.rule.builder.PatternBuilder::setInputs(org.drools.compiler.rule.builder.RuleBuildContext, org.drools.compiler.rule.builder.PatternBuilder.ExprBindings, java.lang.Class<?>, java.lang.String):void	org.drools.compiler.rule.builder.PatternBuilder.ExprBindings	0/3	
Move Method	org.drools.compiler.rule.builder.QueryElementBuilder::analyzeExpression(org.drools.compiler.rule.builder.RuleBuildContext, org.drools.compiler.lang.descr.BaseDescr, java.lang.String):org.drools.compiler.compiler.AnalysisResult	org.drools.compiler.rule.builder.RuleBuildContext	0/3	
Move Method	org.drools.compiler.rule.builder.dialect.java.JavaExprAnalyzer::analyze(org.drools.compiler.rule.builder.dialect.java.JavaAnalysisResult, org.drools.compiler.compiler.BoundIdentifiers):org.drools.compiler.rule.builder.dialect.java.JavaAnalysisResult	org.drools.compiler.rule.builder.dialect.java.JavaAnalysisResult	0/3	
Move Method	org.drools.compiler.builder.impl.KnowledgeBuilderImpl::preCompileAddFunction(org.drools.compiler.lang.descr.FunctionDescr, org.drools.compiler.compiler.PackageRegistry):void	org.drools.compiler.compiler.PackageRegistry	0/2	
Move Method	org.drools.compiler.builder.impl.KnowledgeBuilderImpl::normalizeStrictAnnotation(org.kie.soup.project.datamodel.commons.types.TypeResolver, org.drools.compiler.lang.descr.AnnotationDescr):void	org.drools.compiler.lang.descr.AnnotationDescr	0/2	
Move Method	org.drools.compiler.builder.impl.TypeDeclarationFactory::reportDeclarationDiff(org.drools.core.util.asm.ClassFieldInspector, org.drools.compiler.lang.descr.AbstractClassTypeDeclarationDescr):org.drools.compiler.compiler.TypeDeclarationError	org.drools.compiler.lang.descr.AbstractClassTypeDeclarationDescr	0/2	
Move Method	org.drools.compiler.commons.jci.compilers.JavaCompilerFactory::updateSettings(org.drools.compiler.commons.jci.compilers.JavaCompilerSettings, java.lang.String):org.drools.compiler.commons.jci.compilers.JavaCompilerSettings	org.drools.compiler.commons.jci.compilers.JavaCompilerSettings	0/2	
Move Method	org.drools.compiler.kie.builder.impl.KieContainerImpl::registerLoggers(org.drools.compiler.kproject.models.KieSessionModelImpl, org.kie.api.event.KieRuntimeEventManager):void	org.drools.compiler.kproject.models.KieSessionModelImpl	0/2	
Move Method	org.drools.compiler.lang.ParserHelper::setStart(org.drools.compiler.lang.descr.BaseDescr, org.antlr.runtime.Token):void	org.drools.compiler.lang.descr.BaseDescr	0/2	
Move Method	org.drools.compiler.rule.builder.PatternBuilder::findObjectType(org.drools.compiler.rule.builder.RuleBuildContext, org.drools.compiler.rule.builder.XpathAnalysis.XpathPart, java.lang.String):java.lang.String	org.drools.compiler.rule.builder.RuleBuildContext	0/2	
