Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	io.druid.server.coordinator.CostBalancerStrategy::computeCost(io.druid.timeline.DataSegment, io.druid.server.coordinator.ServerHolder, boolean):double	io.druid.server.coordinator.ServerHolder	0/5	
Move Method	io.druid.guice.StorageNodeModule::getMetadata(io.druid.server.DruidNode, io.druid.guice.NodeTypeConfig, io.druid.client.DruidServerConfig):io.druid.server.coordination.DruidServerMetadata	io.druid.client.DruidServerConfig	0/3	
Move Method	io.druid.curator.discovery.DiscoveryModule::getServiceAnnouncer(io.druid.curator.discovery.CuratorServiceAnnouncer, com.google.inject.Injector, java.util.Set<io.druid.guice.KeyHolder<io.druid.server.DruidNode>>, com.metamx.common.lifecycle.Lifecycle):io.druid.curator.discovery.CuratorServiceAnnouncer	io.druid.curator.discovery.CuratorServiceAnnouncer	0/2	
Move Method	io.druid.curator.discovery.DiscoveryModule::getServiceDiscovery(org.apache.curator.framework.CuratorFramework, io.druid.server.initialization.CuratorDiscoveryConfig, com.metamx.common.lifecycle.Lifecycle):org.apache.curator.x.discovery.ServiceDiscovery<java.lang.Void>	io.druid.server.initialization.CuratorDiscoveryConfig	0/2	
Move Method	io.druid.server.initialization.jetty.JettyServerModule::getJettyMonitor(io.druid.server.metrics.DataSourceTaskIdHolder):io.druid.server.initialization.jetty.JettyServerModule.JettyMonitor	io.druid.server.metrics.DataSourceTaskIdHolder	0/2	
Move Method	io.druid.server.metrics.MetricsModule::getJvmMonitor(io.druid.server.metrics.DataSourceTaskIdHolder):com.metamx.metrics.JvmMonitor	io.druid.server.metrics.DataSourceTaskIdHolder	0/2	
Move Method	io.druid.server.metrics.MetricsModule::getJvmCpuMonitor(io.druid.server.metrics.DataSourceTaskIdHolder):com.metamx.metrics.JvmCpuMonitor	io.druid.server.metrics.DataSourceTaskIdHolder	0/2	
Move Method	io.druid.server.metrics.MetricsModule::getSysMonitor(io.druid.server.metrics.DataSourceTaskIdHolder):com.metamx.metrics.SysMonitor	io.druid.server.metrics.DataSourceTaskIdHolder	0/2	
Move Method	io.druid.guice.DruidProcessingModule::getBackgroundExecutorService(io.druid.client.cache.CacheConfig):java.util.concurrent.ExecutorService	io.druid.client.cache.CacheConfig	0/1	
Move Method	io.druid.segment.realtime.plumber.RealtimePlumber::computeCorruptedFileDumpDir(java.io.File, io.druid.segment.indexing.DataSchema):java.io.File	io.druid.segment.indexing.DataSchema	0/1	
Move Method	io.druid.server.http.IntervalsResource::setProperties(java.util.Map<org.joda.time.Interval,java.util.Map<java.lang.String,java.util.Map<java.lang.String,java.lang.Object>>>, io.druid.client.DruidDataSource, io.druid.timeline.DataSegment):void	io.druid.client.DruidDataSource	0/1	
Move Method	io.druid.server.initialization.jetty.ChatHandlerServerModule::taskIdResponseHeaderFilterHolderBuilder(io.druid.server.metrics.DataSourceTaskIdHolder):io.druid.server.initialization.jetty.TaskIdResponseHeaderFilterHolder	io.druid.server.metrics.DataSourceTaskIdHolder	0/1	
Move Method	io.druid.client.cache.CacheMonitor::emitStats(com.metamx.emitter.service.ServiceEmitter, java.lang.String, io.druid.client.cache.CacheStats, com.metamx.emitter.service.ServiceMetricEvent.Builder):void	io.druid.client.cache.CacheStats	1/9	
Move Method	io.druid.curator.CuratorModule::makeCurator(io.druid.curator.CuratorConfig, com.metamx.common.lifecycle.Lifecycle):org.apache.curator.framework.CuratorFramework	io.druid.curator.CuratorConfig	1/4	
Move Method	io.druid.metadata.IndexerSQLMetadataStorageCoordinator::start():void	io.druid.metadata.SQLMetadataConnector	1/3	
Move Method	io.druid.server.http.CoordinatorResource::getLoadStatus(java.lang.String, java.lang.String):javax.ws.rs.core.Response	io.druid.server.coordinator.DruidCoordinator	1/3	
Move Method	io.druid.client.CoordinatorServerView::removeServer(io.druid.client.DruidServer):void	io.druid.client.DruidServer	1/2	
Move Method	io.druid.curator.CuratorTestBase::setupZNodeForServer(io.druid.client.DruidServer, io.druid.server.initialization.ZkPathsConfig, com.fasterxml.jackson.databind.ObjectMapper):void	io.druid.server.initialization.ZkPathsConfig	1/2	
Move Method	io.druid.segment.realtime.firehose.ServiceAnnouncingChatHandlerProvider::makeDruidNode(java.lang.String):io.druid.server.DruidNode	io.druid.server.DruidNode	1/2	
Move Method	io.druid.server.http.LookupCoordinatorResource::getTiers(boolean):javax.ws.rs.core.Response	io.druid.server.lookup.cache.LookupCoordinatorManager	1/2	
Move Method	io.druid.server.coordinator.ReplicationThrottler::update(java.lang.String, io.druid.server.coordinator.ReplicationThrottler.ReplicatorSegmentHolder, java.util.Map<java.lang.String,java.lang.Boolean>, java.lang.String):void	io.druid.server.coordinator.ReplicationThrottler.ReplicatorSegmentHolder	2/5	
Move Method	io.druid.client.ServerInventoryView::addSingleInventory(io.druid.client.DruidServer, io.druid.timeline.DataSegment):void	io.druid.client.DruidServer	2/4	
Move Method	io.druid.client.ServerInventoryView::removeSingleInventory(io.druid.client.DruidServer, java.lang.String):void	io.druid.client.DruidServer	2/4	
Move Method	io.druid.segment.realtime.appenderator.AppenderatorPlumber::addSegment(io.druid.segment.realtime.appenderator.SegmentIdentifier):void	io.druid.segment.realtime.appenderator.SegmentIdentifier	2/4	
Move Method	io.druid.server.coordinator.rules.LoadRule::assign(io.druid.server.coordinator.ReplicationThrottler, java.lang.String, int, int, int, io.druid.server.coordinator.BalancerStrategy, java.util.List<io.druid.server.coordinator.ServerHolder>, io.druid.timeline.DataSegment):io.druid.server.coordinator.CoordinatorStats	io.druid.server.coordinator.ReplicationThrottler	2/3	
