Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	org.elasticsearch.cluster.health.ClusterStateHealthTests::assertClusterHealth(org.elasticsearch.cluster.health.ClusterStateHealth, org.elasticsearch.cluster.routing.RoutingTableGenerator.ShardCounter):void	org.elasticsearch.cluster.routing.RoutingTableGenerator.ShardCounter	0/6	
Move Method	org.elasticsearch.action.termvectors.AbstractTermVectorsTestCase::getRequestForConfig(org.elasticsearch.action.termvectors.AbstractTermVectorsTestCase.TestConfig):org.elasticsearch.action.termvectors.TermVectorsRequestBuilder	org.elasticsearch.action.termvectors.AbstractTermVectorsTestCase.TestConfig	0/5	
Move Method	org.elasticsearch.cluster.health.ClusterIndexHealthTests::assertIndexHealth(org.elasticsearch.cluster.health.ClusterIndexHealth, org.elasticsearch.cluster.routing.RoutingTableGenerator.ShardCounter, org.elasticsearch.cluster.metadata.IndexMetaData):void	org.elasticsearch.cluster.routing.RoutingTableGenerator.ShardCounter	0/5	
Move Method	org.elasticsearch.action.termvectors.AbstractTermVectorsTestCase::validateResponse(org.elasticsearch.action.termvectors.TermVectorsResponse, org.apache.lucene.index.Fields, org.elasticsearch.action.termvectors.AbstractTermVectorsTestCase.TestConfig):void	org.elasticsearch.action.termvectors.AbstractTermVectorsTestCase.TestConfig	0/4	
Move Method	org.elasticsearch.discovery.zen.UnicastZenPingTests::assertPingCount(org.elasticsearch.discovery.zen.UnicastZenPingTests.NetworkHandle, org.elasticsearch.discovery.zen.UnicastZenPingTests.NetworkHandle, int):void	org.elasticsearch.discovery.zen.UnicastZenPingTests.NetworkHandle	0/3	
Move Method	org.elasticsearch.action.termvectors.AbstractTermVectorsTestCase::getTermVectorsFromLucene(org.apache.lucene.index.DirectoryReader, org.elasticsearch.action.termvectors.AbstractTermVectorsTestCase.TestDoc):org.apache.lucene.index.Fields	org.elasticsearch.action.termvectors.AbstractTermVectorsTestCase.TestDoc	0/1	
Move Method	org.elasticsearch.search.aggregations.support.PathTests::assertValidPath(java.lang.String, org.elasticsearch.search.aggregations.support.PathTests.Tokens):void	org.elasticsearch.search.aggregations.support.PathTests.Tokens	0/1	
Move Method	org.elasticsearch.cluster.service.ClusterApplierServiceTests::testClusterStateUpdateLogging():void	org.elasticsearch.cluster.service.ClusterApplierServiceTests.TimedClusterApplierService	1/3	
Move Method	org.elasticsearch.cluster.service.ClusterApplierServiceTests::testLongClusterStateUpdateLogging():void	org.elasticsearch.cluster.service.ClusterApplierServiceTests.TimedClusterApplierService	1/3	
Move Method	org.elasticsearch.cluster.service.MasterServiceTests::testClusterStateUpdateLogging():void	org.elasticsearch.cluster.service.MasterServiceTests.TimedMasterService	1/3	
Move Method	org.elasticsearch.cluster.service.MasterServiceTests::testLongClusterStateUpdateLogging():void	org.elasticsearch.cluster.service.MasterServiceTests.TimedMasterService	1/3	
Move Method	org.elasticsearch.cluster.action.shard.ShardStateActionTests::setUpMasterRetryVerification(int, java.util.concurrent.atomic.AtomicInteger, java.util.concurrent.CountDownLatch, java.util.function.LongConsumer):void	org.elasticsearch.cluster.action.shard.ShardStateActionTests.TestShardStateAction	1/2	
Move Method	org.elasticsearch.cluster.routing.RoutingServiceTests::testReroute():void	org.elasticsearch.cluster.routing.RoutingServiceTests.TestRoutingService	1/2	
Move Method	org.elasticsearch.gateway.ReplicaShardAllocatorTests::testAsyncFetchOnAnythingButIndexCreation():void	org.elasticsearch.gateway.ReplicaShardAllocatorTests.TestAllocator	2/3	
