org.apache.flink.api.common.io.BinaryInputFormat.createStatistics(java.util.List<org.apache.flink.core.fs.FileStatus>, org.apache.flink.api.common.io.FileInputFormat.FileBaseStatistics);FileBaseStatistics
org.apache.flink.api.common.io.FileInputFormat.getInflaterInputStreamFactory(org.apache.flink.core.fs.Path);Path
org.apache.flink.types.Record.serializeHeader(org.apache.flink.types.Record.InternalDeSerializer, int[], int);InternalDeSerializer
org.apache.flink.api.common.Plan.registerCachedFile(java.lang.String, org.apache.flink.api.common.cache.DistributedCache.DistributedCacheEntry);DistributedCacheEntry
org.apache.flink.api.common.operators.Ordering.getFieldNumber(int);FieldList
org.apache.flink.api.common.operators.Ordering.getFieldPositions();FieldList
org.apache.flink.api.common.operators.Ordering.groupsFields(org.apache.flink.api.common.operators.util.FieldSet);FieldList
org.apache.flink.api.java.utils.RequiredParameters.hasNoDefaultValueAndNoValuePassedOnAlternativeName(org.apache.flink.api.java.utils.Option, java.util.Map<java.lang.String,java.lang.String>);Option
org.apache.flink.api.java.utils.RequiredParameters.checkIsCastableToDefinedType(org.apache.flink.api.java.utils.Option, java.util.Map<java.lang.String,java.lang.String>);Option
org.apache.flink.api.java.utils.RequiredParameters.checkChoices(org.apache.flink.api.java.utils.Option, java.util.Map<java.lang.String,java.lang.String>);Option
org.apache.flink.api.java.utils.RequiredParameters.checkAmbiguousValues(org.apache.flink.api.java.utils.Option, java.util.Map<java.lang.String,java.lang.String>);Option
org.apache.flink.api.java.utils.RequiredParameters.hasNoDefaultValueAndNoValuePassedOnAlternativeName(org.apache.flink.api.java.utils.Option, java.util.Map<java.lang.String,java.lang.String>);Option
org.apache.flink.api.java.utils.RequiredParameters.checkIsCastableToDefinedType(org.apache.flink.api.java.utils.Option, java.util.Map<java.lang.String,java.lang.String>);Option
org.apache.flink.api.java.utils.RequiredParameters.checkChoices(org.apache.flink.api.java.utils.Option, java.util.Map<java.lang.String,java.lang.String>);Option
org.apache.flink.api.java.utils.RequiredParameters.checkAmbiguousValues(org.apache.flink.api.java.utils.Option, java.util.Map<java.lang.String,java.lang.String>);Option
org.apache.flink.optimizer.postpass.GenericFlatTypePostPass.getConflictingTypeErrorMessage(org.apache.flink.optimizer.postpass.ConflictingFieldTypeInfoException, java.lang.String);ConflictingFieldTypeInfoException
org.apache.flink.optimizer.traversals.BinaryUnionReplacer.collect(org.apache.flink.optimizer.plan.Channel, java.util.List<org.apache.flink.optimizer.plan.Channel>);Channel
org.apache.flink.optimizer.postpass.GenericFlatTypePostPass.addSchemaToSchema(T, T, org.apache.flink.optimizer.dag.OptimizerNode, int);OptimizerNode
org.apache.flink.optimizer.plantranslate.JobGraphGenerator.addLocalInfoFromChannelToConfig(org.apache.flink.optimizer.plan.Channel, org.apache.flink.runtime.operators.util.TaskConfig, int, boolean);Channel
org.apache.flink.optimizer.plantranslate.JobGraphGenerator.createDataSourceVertex(org.apache.flink.optimizer.plan.SourcePlanNode);SourcePlanNode
