Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	org.apache.flink.python.api.PythonPlanBinder::createSortOperation(org.apache.flink.python.api.PythonOperationInfo):void	org.apache.flink.python.api.PythonOperationInfo	1/4	
Move Method	org.apache.flink.python.api.PythonPlanBinder::createGroupOperation(org.apache.flink.python.api.PythonOperationInfo):void	org.apache.flink.python.api.PythonOperationInfo	1/3	
Move Method	org.apache.flink.python.api.PythonPlanBinder::applyGroupReduceOperation(org.apache.flink.api.java.DataSet, org.apache.flink.python.api.PythonOperationInfo):org.apache.flink.api.java.DataSet	org.apache.flink.python.api.PythonOperationInfo	1/3	
Move Method	org.apache.flink.python.api.PythonPlanBinder::applyGroupReduceOperation(org.apache.flink.api.java.operators.UnsortedGrouping, org.apache.flink.python.api.PythonOperationInfo):org.apache.flink.api.java.DataSet	org.apache.flink.python.api.PythonOperationInfo	1/3	
Move Method	org.apache.flink.python.api.PythonPlanBinder::applyGroupReduceOperation(org.apache.flink.api.java.operators.SortedGrouping, org.apache.flink.python.api.PythonOperationInfo):org.apache.flink.api.java.DataSet	org.apache.flink.python.api.PythonOperationInfo	1/3	
Move Method	org.apache.flink.python.api.PythonPlanBinder::applyReduceOperation(org.apache.flink.api.java.DataSet, org.apache.flink.python.api.PythonOperationInfo):org.apache.flink.api.java.DataSet	org.apache.flink.python.api.PythonOperationInfo	1/3	
Move Method	org.apache.flink.python.api.PythonPlanBinder::applyReduceOperation(org.apache.flink.api.java.operators.UnsortedGrouping, org.apache.flink.python.api.PythonOperationInfo):org.apache.flink.api.java.DataSet	org.apache.flink.python.api.PythonOperationInfo	1/3	
Move Method	org.apache.flink.python.api.PythonPlanBinder::createCoGroupOperation(org.apache.flink.python.api.PythonOperationInfo):void	org.apache.flink.python.api.PythonOperationInfo	2/7	
Move Method	org.apache.flink.python.api.PythonPlanBinder::createCsvSink(org.apache.flink.python.api.PythonOperationInfo):void	org.apache.flink.python.api.PythonOperationInfo	2/5	
Move Method	org.apache.flink.python.api.PythonPlanBinder::createFilterOperation(org.apache.flink.python.api.PythonOperationInfo):void	org.apache.flink.python.api.PythonOperationInfo	2/4	
Move Method	org.apache.flink.python.api.PythonPlanBinder::createFlatMapOperation(org.apache.flink.python.api.PythonOperationInfo):void	org.apache.flink.python.api.PythonOperationInfo	2/4	
Move Method	org.apache.flink.python.api.PythonPlanBinder::createMapOperation(org.apache.flink.python.api.PythonOperationInfo):void	org.apache.flink.python.api.PythonOperationInfo	2/4	
Move Method	org.apache.flink.python.api.PythonPlanBinder::createMapPartitionOperation(org.apache.flink.python.api.PythonOperationInfo):void	org.apache.flink.python.api.PythonOperationInfo	2/4	
Move Method	org.apache.flink.python.api.PythonPlanBinder::createTextSink(org.apache.flink.python.api.PythonOperationInfo):void	org.apache.flink.python.api.PythonOperationInfo	2/3	
Move Method	org.apache.flink.python.api.PythonPlanBinder::createDistinctOperation(org.apache.flink.python.api.PythonOperationInfo):void	org.apache.flink.python.api.PythonOperationInfo	2/3	
Move Method	org.apache.flink.python.api.PythonPlanBinder::createFirstOperation(org.apache.flink.python.api.PythonOperationInfo):void	org.apache.flink.python.api.PythonOperationInfo	2/3	
Move Method	org.apache.flink.python.api.PythonPlanBinder::createHashPartitionOperation(org.apache.flink.python.api.PythonOperationInfo):void	org.apache.flink.python.api.PythonOperationInfo	2/3	
Move Method	org.apache.flink.python.api.PythonPlanBinder::createUnionOperation(org.apache.flink.python.api.PythonOperationInfo):void	org.apache.flink.python.api.PythonOperationInfo	2/3	
