Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	org.gradle.plugins.ide.eclipse.model.internal.WtpComponentFactory::getEntriesFromSourceDirs(org.gradle.plugins.ide.eclipse.model.EclipseWtpComponent):java.util.List<org.gradle.plugins.ide.eclipse.model.WbResource>	org.gradle.plugins.ide.eclipse.model.EclipseWtpComponent	0/3	
Move Method	org.gradle.plugins.ide.eclipse.model.internal.ClassFoldersCreator::create(org.gradle.plugins.ide.eclipse.model.EclipseClasspath):java.util.List<org.gradle.plugins.ide.eclipse.model.Library>	org.gradle.plugins.ide.eclipse.model.EclipseClasspath	0/2	
Move Method	org.gradle.plugins.ide.eclipse.EclipseWtpPlugin::maybeAddTask(org.gradle.api.Project, org.gradle.plugins.ide.internal.IdePlugin, java.lang.String, java.lang.Class<T>, org.gradle.api.Action<T>):void	org.gradle.plugins.ide.internal.IdePlugin	0/1	
Move Method	org.gradle.plugins.ide.eclipse.model.internal.WtpComponentFactory::createWbDependentModuleEntry(java.io.File, org.gradle.plugins.ide.eclipse.model.internal.FileReferenceFactory, java.lang.String):org.gradle.plugins.ide.eclipse.model.WbDependentModule	org.gradle.plugins.ide.eclipse.model.internal.FileReferenceFactory	0/1	
Move Method	org.gradle.plugins.ide.idea.model.internal.IdeaDependenciesProvider::getPlusMinusConfigurations(org.gradle.plugins.ide.idea.model.IdeaModule, org.gradle.plugins.ide.idea.model.internal.GeneratedIdeaScope):java.util.Map<java.lang.String,java.util.Collection<org.gradle.api.artifacts.Configuration>>	org.gradle.plugins.ide.idea.model.IdeaModule	0/1	
Move Method	org.gradle.plugins.ide.idea.model.internal.IdeaDependenciesProvider::toLibraryDependency(org.gradle.plugins.ide.internal.resolver.model.IdeExtendedRepoFileDependency, org.gradle.plugins.ide.idea.model.IdeaModule, org.gradle.plugins.ide.idea.model.internal.GeneratedIdeaScope):org.gradle.plugins.ide.idea.model.SingleEntryModuleLibrary	org.gradle.plugins.ide.internal.resolver.model.IdeExtendedRepoFileDependency	1/4	
Move Method	org.gradle.plugins.ide.internal.tooling.IdeaModelBuilder::buildDependencies(java.util.Map<java.lang.String,org.gradle.plugins.ide.internal.tooling.idea.DefaultIdeaModule>, org.gradle.plugins.ide.idea.model.IdeaModule):void	org.gradle.plugins.ide.idea.model.IdeaModule	1/3	
Move Method	org.gradle.plugins.ide.eclipse.model.Classpath::fileReference(java.lang.Object):org.gradle.plugins.ide.eclipse.model.FileReference	org.gradle.plugins.ide.eclipse.model.internal.FileReferenceFactory	1/2	
Move Method	org.gradle.plugins.ide.eclipse.model.internal.ClasspathFactory::createOutput():org.gradle.plugins.ide.eclipse.model.ClasspathEntry	org.gradle.plugins.ide.eclipse.model.EclipseClasspath	1/2	
Move Method	org.gradle.plugins.ide.eclipse.model.internal.ProjectDependencyBuilder::determineTargetProjectPath(org.gradle.plugins.ide.internal.resolver.model.IdeProjectDependency):java.lang.String	org.gradle.plugins.ide.internal.resolver.model.IdeProjectDependency	1/2	
Move Method	org.gradle.plugins.ide.eclipse.model.internal.WtpComponentFactory::determineProjectName(org.gradle.plugins.ide.internal.resolver.model.IdeProjectDependency):java.lang.String	org.gradle.plugins.ide.internal.resolver.model.IdeProjectDependency	1/2	
Move Method	org.gradle.plugins.ide.idea.model.IdeaWorkspace::mergeXmlWorkspace(org.gradle.plugins.ide.idea.model.Workspace):void	org.gradle.plugins.ide.api.FileContentMerger	1/2	
Move Method	org.gradle.plugins.ide.idea.model.internal.ModuleDependencyBuilder::determineProjectName(org.gradle.plugins.ide.internal.resolver.model.IdeProjectDependency):java.lang.String	org.gradle.plugins.ide.internal.resolver.model.IdeProjectDependency	1/2	
Move Method	org.gradle.plugins.ide.internal.tooling.IdeaModelBuilder::appendModule(java.util.Map<java.lang.String,org.gradle.plugins.ide.internal.tooling.idea.DefaultIdeaModule>, org.gradle.plugins.ide.idea.model.IdeaModule, org.gradle.plugins.ide.internal.tooling.idea.DefaultIdeaProject, org.gradle.tooling.internal.gradle.DefaultGradleProject):void	org.gradle.plugins.ide.idea.model.IdeaModule	2/13	
Move Method	org.gradle.plugins.ide.eclipse.model.internal.EclipseDependenciesCreator::createLibraryDependencies():java.util.List<org.gradle.plugins.ide.eclipse.model.AbstractClasspathEntry>	org.gradle.plugins.ide.eclipse.model.EclipseClasspath	2/5	
Move Method	org.gradle.plugins.ide.idea.model.Project::storeJdk():void	org.gradle.plugins.ide.idea.model.Jdk	2/4	
