Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	water.bindings.H2oApi::train_deeplearning(water.bindings.pojos.DeepLearningParametersV3):water.bindings.pojos.DeepLearningV3	water.bindings.pojos.DeepLearningParametersV3	1/88	
Move Method	water.bindings.H2oApi::validate_deeplearning(water.bindings.pojos.DeepLearningParametersV3):water.bindings.pojos.DeepLearningV3	water.bindings.pojos.DeepLearningParametersV3	1/88	
Move Method	water.bindings.H2oApi::grid_search_deeplearning(water.bindings.pojos.DeepLearningParametersV3):water.bindings.pojos.DeepLearningV3	water.bindings.pojos.DeepLearningParametersV3	1/88	
Move Method	water.bindings.H2oApi::train_glm(water.bindings.pojos.GLMParametersV3):water.bindings.pojos.GLMV3	water.bindings.pojos.GLMParametersV3	1/57	
Move Method	water.bindings.H2oApi::validate_glm(water.bindings.pojos.GLMParametersV3):water.bindings.pojos.GLMV3	water.bindings.pojos.GLMParametersV3	1/57	
Move Method	water.bindings.H2oApi::grid_search_glm(water.bindings.pojos.GLMParametersV3):water.bindings.pojos.GLMV3	water.bindings.pojos.GLMParametersV3	1/57	
Move Method	water.bindings.H2oApi::train_gbm(water.bindings.pojos.GBMParametersV3):water.bindings.pojos.GBMV3	water.bindings.pojos.GBMParametersV3	1/51	
Move Method	water.bindings.H2oApi::validate_gbm(water.bindings.pojos.GBMParametersV3):water.bindings.pojos.GBMV3	water.bindings.pojos.GBMParametersV3	1/51	
Move Method	water.bindings.H2oApi::grid_search_gbm(water.bindings.pojos.GBMParametersV3):water.bindings.pojos.GBMV3	water.bindings.pojos.GBMParametersV3	1/51	
Move Method	water.bindings.H2oApi::train_glrm(water.bindings.pojos.GLRMParametersV3):water.bindings.pojos.GLRMV3	water.bindings.pojos.GLRMParametersV3	1/49	
Move Method	water.bindings.H2oApi::validate_glrm(water.bindings.pojos.GLRMParametersV3):water.bindings.pojos.GLRMV3	water.bindings.pojos.GLRMParametersV3	1/49	
Move Method	water.bindings.H2oApi::grid_search_glrm(water.bindings.pojos.GLRMParametersV3):water.bindings.pojos.GLRMV3	water.bindings.pojos.GLRMParametersV3	1/49	
Move Method	water.bindings.H2oApi::train_drf(water.bindings.pojos.DRFParametersV3):water.bindings.pojos.DRFV3	water.bindings.pojos.DRFParametersV3	1/48	
Move Method	water.bindings.H2oApi::validate_drf(water.bindings.pojos.DRFParametersV3):water.bindings.pojos.DRFV3	water.bindings.pojos.DRFParametersV3	1/48	
Move Method	water.bindings.H2oApi::grid_search_drf(water.bindings.pojos.DRFParametersV3):water.bindings.pojos.DRFV3	water.bindings.pojos.DRFParametersV3	1/48	
Move Method	water.bindings.H2oApi::train_naivebayes(water.bindings.pojos.NaiveBayesParametersV3):water.bindings.pojos.NaiveBayesV3	water.bindings.pojos.NaiveBayesParametersV3	1/37	
Move Method	water.bindings.H2oApi::validate_naivebayes(water.bindings.pojos.NaiveBayesParametersV3):water.bindings.pojos.NaiveBayesV3	water.bindings.pojos.NaiveBayesParametersV3	1/37	
Move Method	water.bindings.H2oApi::grid_search_naivebayes(water.bindings.pojos.NaiveBayesParametersV3):water.bindings.pojos.NaiveBayesV3	water.bindings.pojos.NaiveBayesParametersV3	1/37	
Move Method	water.bindings.H2oApi::train_pca(water.bindings.pojos.PCAParametersV3):water.bindings.pojos.PCAV3	water.bindings.pojos.PCAParametersV3	1/33	
Move Method	water.bindings.H2oApi::validate_pca(water.bindings.pojos.PCAParametersV3):water.bindings.pojos.PCAV3	water.bindings.pojos.PCAParametersV3	1/33	
Move Method	water.bindings.H2oApi::grid_search_pca(water.bindings.pojos.PCAParametersV3):water.bindings.pojos.PCAV3	water.bindings.pojos.PCAParametersV3	1/33	
Move Method	water.bindings.H2oApi::train_svd(water.bindings.pojos.SVDParametersV99):water.bindings.pojos.SVDV99	water.bindings.pojos.SVDParametersV99	1/33	
Move Method	water.bindings.H2oApi::validate_svd(water.bindings.pojos.SVDParametersV99):water.bindings.pojos.SVDV99	water.bindings.pojos.SVDParametersV99	1/33	
Move Method	water.bindings.H2oApi::grid_search_svd(water.bindings.pojos.SVDParametersV99):water.bindings.pojos.SVDV99	water.bindings.pojos.SVDParametersV99	1/33	
Move Method	water.bindings.H2oApi::train_aggregator(water.bindings.pojos.AggregatorParametersV99):water.bindings.pojos.AggregatorV99	water.bindings.pojos.AggregatorParametersV99	1/32	
Move Method	water.bindings.H2oApi::validate_aggregator(water.bindings.pojos.AggregatorParametersV99):water.bindings.pojos.AggregatorV99	water.bindings.pojos.AggregatorParametersV99	1/32	
Move Method	water.bindings.H2oApi::grid_search_aggregator(water.bindings.pojos.AggregatorParametersV99):water.bindings.pojos.AggregatorV99	water.bindings.pojos.AggregatorParametersV99	1/32	
Move Method	water.bindings.H2oApi::train_kmeans(water.bindings.pojos.KMeansParametersV3):water.bindings.pojos.KMeansV3	water.bindings.pojos.KMeansParametersV3	1/31	
