Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	org.apache.hive.hplsql.Stmt::setIndex(int, int, org.apache.hive.hplsql.HplsqlParser.For_range_stmtContext):org.apache.hive.hplsql.Var	org.apache.hive.hplsql.HplsqlParser.For_range_stmtContext	0/2	
Move Method	org.apache.hive.hplsql.Stmt::updateIndex(int, org.apache.hive.hplsql.Var, org.apache.hive.hplsql.HplsqlParser.For_range_stmtContext):void	org.apache.hive.hplsql.Var	0/2	
Move Method	org.apache.hive.hplsql.functions.Function::getCallParameter(org.apache.hive.hplsql.HplsqlParser.Expr_func_paramsContext, org.apache.hive.hplsql.HplsqlParser.Create_routine_paramsContext, int):org.apache.hive.hplsql.HplsqlParser.Create_routine_param_itemContext	org.apache.hive.hplsql.HplsqlParser.Create_routine_paramsContext	0/2	
Move Method	org.apache.hive.hplsql.Select::getIntoClause(org.apache.hive.hplsql.HplsqlParser.Select_stmtContext):org.apache.hive.hplsql.HplsqlParser.Into_clauseContext	org.apache.hive.hplsql.HplsqlParser.Select_stmtContext	0/1	
Move Method	org.apache.hive.hplsql.Stmt::update(org.apache.hive.hplsql.HplsqlParser.Update_stmtContext):java.lang.Integer	org.apache.hive.hplsql.Exec	1/7	
Move Method	org.apache.hive.hplsql.Stmt::merge(org.apache.hive.hplsql.HplsqlParser.Merge_stmtContext):java.lang.Integer	org.apache.hive.hplsql.Exec	1/7	
Move Method	org.apache.hive.hplsql.Expression::multiInClauseSql(org.apache.hive.hplsql.HplsqlParser.Bool_expr_multi_inContext, java.lang.StringBuilder):void	org.apache.hive.hplsql.HplsqlParser.Bool_expr_multi_inContext	1/5	
Move Method	org.apache.hive.hplsql.Stmt::allocateCursor(org.apache.hive.hplsql.HplsqlParser.Allocate_cursor_stmtContext):java.lang.Integer	org.apache.hive.hplsql.Exec	1/5	
Move Method	org.apache.hive.hplsql.Exec::initOptions():void	org.apache.hive.hplsql.Conf	1/4	
Move Method	org.apache.hive.hplsql.Expression::execCursorAttribute(org.apache.hive.hplsql.HplsqlParser.Expr_cursor_attributeContext):void	org.apache.hive.hplsql.Exec	1/4	
Move Method	org.apache.hive.hplsql.Meta::readColumns(org.antlr.v4.runtime.ParserRuleContext, java.lang.String, java.lang.String, java.util.HashMap<java.lang.String,org.apache.hive.hplsql.Row>):org.apache.hive.hplsql.Row	org.apache.hive.hplsql.Exec	1/4	
Move Method	org.apache.hive.hplsql.Stmt::associateLocator(org.apache.hive.hplsql.HplsqlParser.Associate_locator_stmtContext):java.lang.Integer	org.apache.hive.hplsql.Exec	1/4	
Move Method	org.apache.hive.hplsql.Stmt::getDiagnosticsException(org.apache.hive.hplsql.HplsqlParser.Get_diag_stmt_exception_itemContext):java.lang.Integer	org.apache.hive.hplsql.Exec	1/4	
Move Method	org.apache.hive.hplsql.Stmt::getDiagnosticsRowCount(org.apache.hive.hplsql.HplsqlParser.Get_diag_stmt_rowcount_itemContext):java.lang.Integer	org.apache.hive.hplsql.Exec	1/3	
Move Method	org.apache.hive.hplsql.Conn::closeQuery(org.apache.hive.hplsql.Query, java.lang.String):void	org.apache.hive.hplsql.Query	1/2	
Move Method	org.apache.hive.hplsql.Converter::dataType(org.apache.hive.hplsql.HplsqlParser.DtypeContext, org.apache.hive.hplsql.HplsqlParser.Dtype_lenContext):java.lang.String	org.apache.hive.hplsql.Exec	1/2	
Move Method	org.apache.hive.hplsql.Stmt::break_(org.apache.hive.hplsql.HplsqlParser.Break_stmtContext):java.lang.Integer	org.apache.hive.hplsql.Exec	1/2	
Move Method	org.apache.hive.hplsql.Stmt::leave(org.apache.hive.hplsql.HplsqlParser.Leave_stmtContext):java.lang.Integer	org.apache.hive.hplsql.Exec	1/2	
