Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	net.java.sip.communicator.plugin.ippiaccregwizz.IppiAccountRegistrationWizard::setPredefinedProperties(net.java.sip.communicator.service.protocol.sip.SIPAccountRegistration):void	net.java.sip.communicator.service.protocol.sip.SIPAccountRegistration	0/7	
Move Method	net.java.sip.communicator.plugin.sip2sipaccregwizz.Sip2SipAccountRegistrationWizard::setPredefinedProperties(net.java.sip.communicator.service.protocol.sip.SIPAccountRegistration):void	net.java.sip.communicator.service.protocol.sip.SIPAccountRegistration	0/5	
Move Method	net.java.sip.communicator.impl.gui.main.chat.ChatConversationPanel::processMeCommand(net.java.sip.communicator.impl.gui.main.chat.ChatMessage):java.lang.String	net.java.sip.communicator.impl.gui.main.chat.ChatMessage	0/4	
Move Method	net.java.sip.communicator.impl.protocol.jabber.extensions.colibri.ColibriIQProvider::addChildExtension(net.java.sip.communicator.impl.protocol.jabber.extensions.colibri.ColibriConferenceIQ.Channel, org.jivesoftware.smack.packet.PacketExtension):void	net.java.sip.communicator.impl.protocol.jabber.extensions.colibri.ColibriConferenceIQ.Channel	0/4	
Move Method	net.java.sip.communicator.impl.gui.main.contactlist.contactsource.MetaUIContact::addContactResourceTooltipLines(net.java.sip.communicator.plugin.desktoputil.ExtendedTooltip, net.java.sip.communicator.service.protocol.Contact):void	net.java.sip.communicator.plugin.desktoputil.ExtendedTooltip	0/3	
Move Method	net.java.sip.communicator.impl.protocol.jabber.OperationSetTelephonyConferencingJabberImpl::getConferenceInfo(net.java.sip.communicator.impl.protocol.jabber.CallPeerJabberImpl, net.java.sip.communicator.service.protocol.media.ConferenceInfoDocument):org.jivesoftware.smack.packet.IQ	net.java.sip.communicator.impl.protocol.jabber.CallPeerJabberImpl	0/3	
Move Method	net.java.sip.communicator.plugin.googletalkaccregwizz.GoogleTalkAccountRegistrationWizard::setPredefinedProperties(net.java.sip.communicator.service.protocol.jabber.JabberAccountRegistration):void	net.java.sip.communicator.service.protocol.jabber.JabberAccountRegistration	0/3	
Move Method	net.java.sip.communicator.plugin.notificationwiring.NotificationManager::isConference(net.java.sip.communicator.service.protocol.Call):boolean	net.java.sip.communicator.service.protocol.Call	0/3	
Move Method	net.java.sip.communicator.plugin.whiteboard.WhiteboardSessionManager::sendWhiteboardObject(net.java.sip.communicator.service.protocol.WhiteboardSession, net.java.sip.communicator.plugin.whiteboard.gui.whiteboardshapes.WhiteboardShape):net.java.sip.communicator.service.protocol.whiteboardobjects.WhiteboardObject	net.java.sip.communicator.plugin.whiteboard.gui.whiteboardshapes.WhiteboardShape	0/3	
Move Method	net.java.sip.communicator.impl.gui.main.call.CallManager.MergeExistingCalls::putOffHold(net.java.sip.communicator.service.protocol.Call):void	net.java.sip.communicator.service.protocol.Call	0/2	
Move Method	net.java.sip.communicator.impl.gui.main.chat.ChatWindowManager::removeNonReadChatState(net.java.sip.communicator.impl.gui.main.chat.ChatPanel):void	net.java.sip.communicator.impl.gui.main.chat.ChatPanel	0/2	
Move Method	net.java.sip.communicator.impl.gui.main.chat.conference.ConferenceChatManager::joinChatRoom(net.java.sip.communicator.impl.gui.main.chat.conference.AdHocChatRoomWrapper):void	net.java.sip.communicator.impl.gui.main.chat.conference.AdHocChatRoomWrapper	0/2	
Move Method	net.java.sip.communicator.impl.gui.main.contactlist.CallHistoryFilter::addMatching(net.java.sip.communicator.impl.gui.main.contactlist.notifsource.NotificationContactSource):void	net.java.sip.communicator.impl.gui.main.contactlist.notifsource.NotificationContactSource	0/2	
Move Method	net.java.sip.communicator.impl.history.DBStructSerializer::createStructureTag(org.w3c.dom.Document, net.java.sip.communicator.service.history.records.HistoryRecordStructure):org.w3c.dom.Element	net.java.sip.communicator.service.history.records.HistoryRecordStructure	0/2	
Move Method	net.java.sip.communicator.impl.protocol.jabber.OperationSetPersistentPresenceJabberImpl::removeResource(net.java.sip.communicator.impl.protocol.jabber.ContactJabberImpl, java.lang.String):boolean	net.java.sip.communicator.impl.protocol.jabber.ContactJabberImpl	0/2	
