Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	com.jme3.scene.plugins.blender.modifiers.MaskModifier::removeVertexAt(int, com.jme3.scene.plugins.blender.meshes.TemporalMesh):void	com.jme3.scene.plugins.blender.meshes.TemporalMesh	0/8	
Move Method	com.jme3.scene.plugins.blender.constraints.ConstraintHelper::bakeConstraints(com.jme3.scene.plugins.blender.BlenderContext):void	com.jme3.scene.plugins.blender.BlenderContext	0/4	
Move Method	com.jme3.scene.plugins.blender.textures.generating.TextureGenerator::applyBrightnessAndContrast(com.jme3.scene.plugins.blender.textures.generating.TextureGenerator.BrightnessAndContrastData, com.jme3.scene.plugins.blender.textures.TexturePixel):void	com.jme3.scene.plugins.blender.textures.TexturePixel	0/3	
Move Method	com.jme3.scene.plugins.blender.AbstractBlenderHelper::applyProperties(com.jme3.scene.Spatial, com.jme3.scene.plugins.blender.objects.Properties):void	com.jme3.scene.plugins.blender.objects.Properties	0/2	
Move Method	com.jme3.scene.plugins.blender.meshes.MeshHelper::selectUVSubset(com.jme3.scene.plugins.blender.meshes.Face, java.lang.Integer[]):java.util.Map<java.lang.String,java.util.List<com.jme3.math.Vector2f>>	com.jme3.scene.plugins.blender.meshes.Face	0/2	
Move Method	com.jme3.scene.plugins.blender.meshes.MeshHelper::selectVertexColorSubset(com.jme3.scene.plugins.blender.meshes.Face, java.lang.Integer[]):java.util.List<byte[]>	com.jme3.scene.plugins.blender.meshes.Face	0/2	
Move Method	com.jme3.scene.plugins.blender.constraints.SimulationNode::findConstraints(java.lang.Long, com.jme3.scene.plugins.blender.BlenderContext):java.util.List<com.jme3.scene.plugins.blender.constraints.Constraint>	com.jme3.scene.plugins.blender.BlenderContext	0/1	
Move Method	com.jme3.scene.plugins.blender.landscape.LandscapeHelper::toBackgroundColor(com.jme3.scene.plugins.blender.file.Structure):com.jme3.math.ColorRGBA	com.jme3.scene.plugins.blender.file.Structure	0/1	
Move Method	com.jme3.scene.plugins.blender.materials.MaterialContext::readSpecularColor(com.jme3.scene.plugins.blender.file.Structure):com.jme3.math.ColorRGBA	com.jme3.scene.plugins.blender.file.Structure	0/1	
Move Method	com.jme3.scene.plugins.blender.meshes.MeshHelper::isBMeshCompatible(com.jme3.scene.plugins.blender.file.Structure):boolean	com.jme3.scene.plugins.blender.file.Structure	0/1	
Move Method	com.jme3.scene.plugins.blender.modifiers.SubdivisionSurfaceModifier::computeFaceUVs(com.jme3.scene.plugins.blender.meshes.Face):java.util.Map<java.lang.String,com.jme3.math.Vector2f>	com.jme3.scene.plugins.blender.meshes.Face	0/1	
Move Method	com.jme3.scene.plugins.blender.objects.ObjectHelper::getMatrix(com.jme3.scene.plugins.blender.file.Structure, java.lang.String, boolean, com.jme3.math.Matrix4f):com.jme3.math.Matrix4f	com.jme3.scene.plugins.blender.file.Structure	0/1	
Move Method	com.jme3.scene.plugins.blender.textures.TextureHelper::applyColorbandAndColorFactors(com.jme3.scene.plugins.blender.file.Structure, com.jme3.texture.Image, com.jme3.scene.plugins.blender.BlenderContext):void	com.jme3.scene.plugins.blender.file.Structure	0/1	
Move Method	com.jme3.scene.plugins.blender.textures.generating.TextureGenerator::applyBrightnessAndContrast(com.jme3.scene.plugins.blender.textures.TexturePixel, float, float):void	com.jme3.scene.plugins.blender.textures.TexturePixel	0/1	
Move Method	com.jme3.scene.plugins.blender.lights.LightHelper::toLight(com.jme3.scene.plugins.blender.file.Structure, com.jme3.scene.plugins.blender.BlenderContext):com.jme3.light.Light	com.jme3.scene.plugins.blender.file.Structure	1/3	
Move Method	com.jme3.scene.plugins.blender.math.Matrix::setColumn(com.jme3.scene.plugins.blender.math.Vector3d, int):void	com.jme3.scene.plugins.blender.math.Vector3d	1/3	
Move Method	com.jme3.scene.plugins.blender.animations.AnimationHelper::fromIpoStructure(com.jme3.scene.plugins.blender.file.Structure, com.jme3.scene.plugins.blender.BlenderContext):com.jme3.scene.plugins.blender.animations.Ipo	com.jme3.scene.plugins.blender.BlenderContext	1/2	
Move Method	com.jme3.scene.plugins.blender.animations.AnimationHelper::getCurveType(com.jme3.scene.plugins.blender.file.Structure, com.jme3.scene.plugins.blender.BlenderContext):int	com.jme3.scene.plugins.blender.BlenderContext	1/2	
Move Method	com.jme3.scene.plugins.blender.meshes.Face::getIndex(int):java.lang.Integer	com.jme3.scene.plugins.blender.meshes.IndexesLoop	1/2	
Move Method	com.jme3.scene.plugins.blender.meshes.MeshHelper::loadVerticesColors(com.jme3.scene.plugins.blender.file.Structure, com.jme3.scene.plugins.blender.BlenderContext):java.util.List<byte[]>	com.jme3.scene.plugins.blender.BlenderContext	1/2	
Move Method	com.jme3.scene.plugins.blender.meshes.TemporalMesh::getAdjacentFaces(com.jme3.scene.plugins.blender.meshes.Edge):java.util.Collection<com.jme3.scene.plugins.blender.meshes.Face>	com.jme3.scene.plugins.blender.meshes.Edge	1/2	
Move Method	com.jme3.scene.plugins.blender.modifiers.SubdivisionSurfaceModifier::subdivideCatmullClark(com.jme3.scene.plugins.blender.meshes.TemporalMesh):void	com.jme3.scene.plugins.blender.meshes.TemporalMesh	2/7	
Move Method	com.jme3.scene.plugins.blender.AbstractBlenderHelper::loadLibrary(com.jme3.scene.plugins.blender.file.Structure):java.lang.Object	com.jme3.scene.plugins.blender.BlenderContext	2/4	
Move Method	com.jme3.scene.plugins.blender.constraints.ConstraintHelper::loadConstraints(com.jme3.scene.plugins.blender.file.Structure, com.jme3.scene.plugins.blender.BlenderContext):void	com.jme3.scene.plugins.blender.BlenderContext	2/3	
