Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	org.languagetool.languagemodel.LuceneSingleIndexLanguageModel::getCount(org.apache.lucene.index.Term, org.languagetool.languagemodel.LuceneSingleIndexLanguageModel.LuceneSearcher):long	org.languagetool.languagemodel.LuceneSingleIndexLanguageModel.LuceneSearcher	0/3	
Move Method	org.languagetool.rules.patterns.XMLRuleHandler::setRuleFilter(java.lang.String, java.lang.String, org.languagetool.rules.patterns.AbstractPatternRule):void	org.languagetool.rules.patterns.AbstractPatternRule	0/2	
Move Method	org.languagetool.tagging.BaseTagger::asAnalyzedToken(java.lang.String, org.languagetool.tagging.TaggedWord):org.languagetool.AnalyzedToken	org.languagetool.tagging.TaggedWord	0/2	
Move Method	org.languagetool.JLanguageTool::getAllBuiltinRules(org.languagetool.Language, java.util.ResourceBundle):java.util.List<org.languagetool.rules.Rule>	org.languagetool.Language	0/1	
Move Method	org.languagetool.JLanguageTool::adjustRuleMatchPos(org.languagetool.rules.RuleMatch, int, int, int, java.lang.String, org.languagetool.markup.AnnotatedText):org.languagetool.rules.RuleMatch	org.languagetool.markup.AnnotatedText	0/1	
Move Method	org.languagetool.rules.ngrams.ConfusionProbabilityRule::getAlternativeTerm(java.util.Set<org.languagetool.rules.ConfusionString>, org.languagetool.rules.ngrams.GoogleToken):org.languagetool.rules.ConfusionString	org.languagetool.rules.ngrams.GoogleToken	0/1	
Move Method	org.languagetool.rules.ngrams.ConfusionProbabilityRule::getConfusionString(java.util.Set<org.languagetool.rules.ConfusionString>, org.languagetool.rules.ngrams.GoogleToken):org.languagetool.rules.ConfusionString	org.languagetool.rules.ngrams.GoogleToken	0/1	
Move Method	org.languagetool.tagging.disambiguation.rules.DisambiguationPatternRuleReplacer::replaceTokens(org.languagetool.AnalyzedTokenReadings, org.languagetool.AnalyzedTokenReadings):org.languagetool.AnalyzedTokenReadings	org.languagetool.AnalyzedTokenReadings	1/15	
Move Method	org.languagetool.rules.ngrams.ConfusionProbabilityRule::getMessage(org.languagetool.rules.ConfusionString, org.languagetool.rules.ConfusionString):java.lang.String	org.languagetool.rules.ConfusionString	1/2	
Move Method	org.languagetool.rules.patterns.PatternToken::isSentenceStart():boolean	org.languagetool.rules.patterns.PatternToken.PosToken	1/2	
Move Method	org.languagetool.rules.patterns.PatternToken::isPosTokenMatched(org.languagetool.AnalyzedToken):boolean	org.languagetool.AnalyzedToken	1/2	
Move Method	org.languagetool.rules.patterns.PatternToken::getTestToken(org.languagetool.AnalyzedToken):java.lang.String	org.languagetool.AnalyzedToken	1/2	
Move Method	org.languagetool.JLanguageTool::activateDefaultPatternRules():void	org.languagetool.Language	2/3	
