Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	org.opentripplanner.updater.alerts.AlertsUpdateHandler::createId(java.lang.String, com.google.transit.realtime.GtfsRealtime.EntitySelector):java.lang.String	com.google.transit.realtime.GtfsRealtime.EntitySelector	0/10	
Move Method	org.opentripplanner.routing.edgetype.Timetable::adjustTimeForTransfer(org.opentripplanner.routing.core.State, org.onebusaway.gtfs.model.Stop, org.onebusaway.gtfs.model.Trip, boolean, org.opentripplanner.routing.core.ServiceDay, int):int	org.opentripplanner.routing.core.State	0/6	
Move Method	org.opentripplanner.common.LuceneIndex::addCluster(org.apache.lucene.index.IndexWriter, org.opentripplanner.profile.StopCluster):void	org.opentripplanner.profile.StopCluster	0/4	
Move Method	org.opentripplanner.routing.core.RoutingContext::makePartialEdgeAlong(org.opentripplanner.routing.edgetype.StreetEdge, org.opentripplanner.routing.location.TemporaryStreetLocation, org.opentripplanner.routing.location.TemporaryStreetLocation):void	org.opentripplanner.routing.edgetype.StreetEdge	0/4	
Move Method	org.opentripplanner.graph_builder.module.osm.WalkableAreaBuilder::toJTSPolygon(org.opentripplanner.visibility.VLPolygon):com.vividsolutions.jts.geom.Polygon	org.opentripplanner.visibility.VLPolygon	0/3	
Move Method	org.opentripplanner.updater.stoptime.TimetableSnapshotSource::determineTripScheduleRelationship(com.google.transit.realtime.GtfsRealtime.TripUpdate):com.google.transit.realtime.GtfsRealtime.TripDescriptor.ScheduleRelationship	com.google.transit.realtime.GtfsRealtime.TripUpdate	0/3	
Move Method	org.opentripplanner.graph_builder.module.osm.OpenStreetMapModule.Handler::getCoordinate(org.opentripplanner.openstreetmap.model.OSMNode):com.vividsolutions.jts.geom.Coordinate	org.opentripplanner.openstreetmap.model.OSMNode	0/2	
Move Method	org.opentripplanner.graph_builder.module.osm.Ring::toCoordinates(org.opentripplanner.visibility.VLPolygon):com.vividsolutions.jts.geom.Coordinate[]	org.opentripplanner.visibility.VLPolygon	0/2	
Move Method	org.opentripplanner.routing.algorithm.AStar::isWorstTimeExceeded(org.opentripplanner.routing.core.State, org.opentripplanner.routing.core.RoutingRequest):boolean	org.opentripplanner.routing.core.RoutingRequest	0/2	
Move Method	org.opentripplanner.routing.algorithm.EarliestArrivalSearch::isWorstTimeExceeded(org.opentripplanner.routing.core.State, org.opentripplanner.routing.core.RoutingRequest):boolean	org.opentripplanner.routing.core.RoutingRequest	0/2	
Move Method	org.opentripplanner.routing.core.AbstractIntersectionTraversalCostModel::calculateTurnAngle(org.opentripplanner.routing.edgetype.StreetEdge, org.opentripplanner.routing.edgetype.StreetEdge, org.opentripplanner.routing.core.RoutingRequest):int	org.opentripplanner.routing.edgetype.StreetEdge	0/2	
