Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	com.orientechnologies.orient.server.network.protocol.http.command.get.OServerCommandGetFileDownload::sendORecordBinaryFileContent(com.orientechnologies.orient.server.network.protocol.http.OHttpRequest, com.orientechnologies.orient.server.network.protocol.http.OHttpResponse, int, java.lang.String, java.lang.String, com.orientechnologies.orient.core.record.impl.OBlob, java.lang.String):void	com.orientechnologies.orient.server.network.protocol.http.OHttpResponse	0/5	
Move Method	com.orientechnologies.orient.server.network.protocol.http.command.get.OServerCommandGetFileDownload::sendBinaryFieldFileContent(com.orientechnologies.orient.server.network.protocol.http.OHttpRequest, com.orientechnologies.orient.server.network.protocol.http.OHttpResponse, int, java.lang.String, java.lang.String, byte[], java.lang.String):void	com.orientechnologies.orient.server.network.protocol.http.OHttpResponse	0/5	
Move Method	com.orientechnologies.orient.server.OServer::openDatabaseBypassingSecurity(com.orientechnologies.orient.core.db.ODatabaseInternal<?>, com.orientechnologies.orient.server.network.protocol.ONetworkProtocolData, java.lang.String):void	com.orientechnologies.orient.server.network.protocol.ONetworkProtocolData	0/2	
Move Method	com.orientechnologies.orient.server.network.protocol.http.multipart.OHttpMultipartRequestCommand::readBoundary(com.orientechnologies.orient.server.network.protocol.http.OHttpRequest, com.orientechnologies.orient.server.network.protocol.http.OHttpResponse, char):void	com.orientechnologies.orient.server.network.protocol.http.OHttpRequest	0/2	
Move Method	com.orientechnologies.orient.server.network.protocol.binary.ONetworkProtocolBinary::loadUserFromSchema(com.orientechnologies.orient.server.OClientConnection, java.lang.String, java.lang.String):boolean	com.orientechnologies.orient.server.OClientConnection	0/1	
Move Method	com.orientechnologies.orient.server.network.protocol.http.command.OServerCommandAbstract::isJsonResponse(com.orientechnologies.orient.server.network.protocol.http.OHttpResponse):boolean	com.orientechnologies.orient.server.network.protocol.http.OHttpResponse	0/1	
Move Method	com.orientechnologies.orient.server.network.protocol.http.command.OServerCommandAbstract::sendJsonError(com.orientechnologies.orient.server.network.protocol.http.OHttpResponse, int, java.lang.String, java.lang.String, java.lang.Object, java.lang.String):void	com.orientechnologies.orient.server.network.protocol.http.OHttpResponse	0/1	
Move Method	com.orientechnologies.orient.server.network.protocol.http.command.OServerCommandDocumentAbstract::bindToFields(com.orientechnologies.orient.server.network.protocol.http.OHttpRequest, java.util.Map<java.lang.String,java.lang.String>, com.orientechnologies.orient.core.id.ORecordId):java.lang.String	com.orientechnologies.orient.server.network.protocol.http.OHttpRequest	0/1	
Move Method	com.orientechnologies.orient.server.network.protocol.http.command.get.OServerCommandGetStaticContent::getResource(com.orientechnologies.orient.server.network.protocol.http.OHttpRequest):java.lang.String	com.orientechnologies.orient.server.network.protocol.http.OHttpRequest	0/1	
Move Method	com.orientechnologies.orient.server.network.protocol.http.command.post.OServerCommandPostServer::changeConfiguration(com.orientechnologies.orient.server.network.protocol.http.OHttpResponse, java.lang.String, java.lang.String):void	com.orientechnologies.orient.server.network.protocol.http.OHttpResponse	0/1	
Move Method	com.orientechnologies.orient.server.network.protocol.http.command.post.OServerCommandPostServer::changeLogLevel(com.orientechnologies.orient.server.network.protocol.http.OHttpResponse, java.lang.String, java.lang.String):void	com.orientechnologies.orient.server.network.protocol.http.OHttpResponse	0/1	
