Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	com.navercorp.pinpoint.common.server.bo.serializer.trace.v1.SpanSerializer::writeColumnValue(com.navercorp.pinpoint.common.server.bo.SpanBo):java.nio.ByteBuffer	com.navercorp.pinpoint.common.server.bo.SpanBo	0/21	
Move Method	com.navercorp.pinpoint.common.server.bo.serializer.trace.v1.SpanDecoder::readSpan(com.navercorp.pinpoint.common.server.bo.SpanBo, com.navercorp.pinpoint.common.buffer.Buffer):int	com.navercorp.pinpoint.common.server.bo.SpanBo	0/18	
Move Method	com.navercorp.pinpoint.common.server.bo.serializer.trace.v2.SpanEncoderV0::encodeQualifier(byte, java.lang.String, java.lang.String, long, long, com.navercorp.pinpoint.common.server.bo.SpanEventBo):java.nio.ByteBuffer	com.navercorp.pinpoint.common.server.bo.SpanEventBo	0/3	
Move Method	com.navercorp.pinpoint.common.server.bo.SpanFactoryAssert::assertSpanEvent(com.navercorp.pinpoint.thrift.dto.TSpanEvent, com.navercorp.pinpoint.common.server.bo.SpanEventBo):void	com.navercorp.pinpoint.common.server.bo.SpanEventBo	1/17	
Move Method	com.navercorp.pinpoint.common.server.bo.SpanFactory::bind(com.navercorp.pinpoint.common.server.bo.SpanEventBo, com.navercorp.pinpoint.thrift.dto.TSpanEvent):void	com.navercorp.pinpoint.common.server.bo.SpanEventBo	1/15	
Move Method	com.navercorp.pinpoint.common.server.bo.serializer.trace.v2.SpanEncoderV0::writeFirstSpanEvent(com.navercorp.pinpoint.common.buffer.Buffer, com.navercorp.pinpoint.common.server.bo.SpanEventBo, com.navercorp.pinpoint.common.server.bo.serializer.trace.v2.SpanEncodingContext<?>):void	com.navercorp.pinpoint.common.server.bo.SpanEventBo	1/14	
Move Method	com.navercorp.pinpoint.common.server.bo.serializer.trace.v1.SpanDecoder::readSpanEvent(com.navercorp.pinpoint.common.server.bo.SpanEventBo, com.navercorp.pinpoint.common.buffer.Buffer, com.navercorp.pinpoint.common.server.bo.serializer.trace.v1.SpanDecodingContext):int	com.navercorp.pinpoint.common.server.bo.SpanEventBo	1/13	
Move Method	com.navercorp.pinpoint.common.server.bo.serializer.trace.v2.SpanDecoderV0::readFirstSpanEvent(com.navercorp.pinpoint.common.buffer.Buffer, com.navercorp.pinpoint.common.server.bo.SpanEventBo, com.navercorp.pinpoint.common.server.bo.serializer.trace.v2.SpanDecodingContext):com.navercorp.pinpoint.common.server.bo.SpanEventBo	com.navercorp.pinpoint.common.server.bo.SpanEventBo	1/13	
Move Method	com.navercorp.pinpoint.common.server.bo.SpanFactoryAssert::assertSpanChunk(com.navercorp.pinpoint.thrift.dto.TSpanChunk, com.navercorp.pinpoint.common.server.bo.SpanChunkBo):void	com.navercorp.pinpoint.common.server.bo.SpanChunkBo	1/9	
Move Method	com.navercorp.pinpoint.common.server.bo.codec.stat.v1.ActiveTraceCodecV1::encodeDataPoints(com.navercorp.pinpoint.common.buffer.Buffer, com.navercorp.pinpoint.common.server.bo.codec.stat.v1.strategy.StrategyAnalyzer<java.lang.Short>, com.navercorp.pinpoint.common.server.bo.codec.stat.v1.strategy.StrategyAnalyzer<java.lang.Integer>, com.navercorp.pinpoint.common.server.bo.codec.stat.v1.strategy.StrategyAnalyzer<java.lang.Integer>, com.navercorp.pinpoint.common.server.bo.codec.stat.v1.strategy.StrategyAnalyzer<java.lang.Integer>, com.navercorp.pinpoint.common.server.bo.codec.stat.v1.strategy.StrategyAnalyzer<java.lang.Integer>, com.navercorp.pinpoint.common.server.bo.codec.stat.v1.strategy.StrategyAnalyzer<java.lang.Integer>):void	com.navercorp.pinpoint.common.server.bo.codec.stat.AgentStatDataPointCodec	1/2	
Move Method	com.navercorp.pinpoint.common.server.bo.serializer.trace.v2.SpanDecoderV0::readSpanChunkValue(com.navercorp.pinpoint.common.buffer.Buffer, com.navercorp.pinpoint.common.server.bo.SpanChunkBo, com.navercorp.pinpoint.common.server.bo.SpanEventBo, com.navercorp.pinpoint.common.server.bo.serializer.trace.v2.SpanDecodingContext):void	com.navercorp.pinpoint.common.server.bo.SpanChunkBo	1/2	
Move Method	com.navercorp.pinpoint.common.server.bo.serializer.trace.v2.SpanEncoderV0::writeDeltaAnnotationBo(com.navercorp.pinpoint.common.buffer.Buffer, com.navercorp.pinpoint.common.server.bo.AnnotationBo, com.navercorp.pinpoint.common.server.bo.AnnotationBo):void	com.navercorp.pinpoint.common.server.bo.AnnotationBo	1/2	
Move Method	com.navercorp.pinpoint.common.server.bo.SpanFactoryAssert::assertSpan(com.navercorp.pinpoint.thrift.dto.TSpan, com.navercorp.pinpoint.common.server.bo.SpanBo):void	com.navercorp.pinpoint.common.server.bo.SpanBo	2/25	
