Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	com.facebook.presto.bytecode.BytecodeBlock::getField(com.facebook.presto.bytecode.FieldDefinition):com.facebook.presto.bytecode.BytecodeBlock	com.facebook.presto.bytecode.FieldDefinition	1/3	
Move Method	com.facebook.presto.bytecode.BytecodeBlock::getStaticField(com.facebook.presto.bytecode.FieldDefinition):com.facebook.presto.bytecode.BytecodeBlock	com.facebook.presto.bytecode.FieldDefinition	1/3	
Move Method	com.facebook.presto.bytecode.BytecodeBlock::putStaticField(com.facebook.presto.bytecode.FieldDefinition):com.facebook.presto.bytecode.BytecodeBlock	com.facebook.presto.bytecode.FieldDefinition	1/3	
Move Method	com.facebook.presto.bytecode.expression.BytecodeExpression::invoke(com.facebook.presto.bytecode.MethodDefinition, java.lang.Iterable<? extends com.facebook.presto.bytecode.expression.BytecodeExpression>):com.facebook.presto.bytecode.expression.BytecodeExpression	com.facebook.presto.bytecode.MethodDefinition	1/3	
Move Method	com.facebook.presto.bytecode.BytecodeBlock::getStaticField(com.facebook.presto.bytecode.ParameterizedType, com.facebook.presto.bytecode.FieldDefinition):com.facebook.presto.bytecode.BytecodeBlock	com.facebook.presto.bytecode.FieldDefinition	1/2	
Move Method	com.facebook.presto.bytecode.control.DoWhileLoop::body(com.facebook.presto.bytecode.BytecodeNode):com.facebook.presto.bytecode.control.DoWhileLoop	com.facebook.presto.bytecode.BytecodeBlock	1/2	
Move Method	com.facebook.presto.bytecode.control.DoWhileLoop::condition(com.facebook.presto.bytecode.BytecodeNode):com.facebook.presto.bytecode.control.DoWhileLoop	com.facebook.presto.bytecode.BytecodeBlock	1/2	
Move Method	com.facebook.presto.bytecode.control.ForLoop::initialize(com.facebook.presto.bytecode.BytecodeNode):com.facebook.presto.bytecode.control.ForLoop	com.facebook.presto.bytecode.BytecodeBlock	1/2	
Move Method	com.facebook.presto.bytecode.control.ForLoop::condition(com.facebook.presto.bytecode.BytecodeNode):com.facebook.presto.bytecode.control.ForLoop	com.facebook.presto.bytecode.BytecodeBlock	1/2	
Move Method	com.facebook.presto.bytecode.control.ForLoop::update(com.facebook.presto.bytecode.BytecodeNode):com.facebook.presto.bytecode.control.ForLoop	com.facebook.presto.bytecode.BytecodeBlock	1/2	
Move Method	com.facebook.presto.bytecode.control.ForLoop::body(com.facebook.presto.bytecode.BytecodeNode):com.facebook.presto.bytecode.control.ForLoop	com.facebook.presto.bytecode.BytecodeBlock	1/2	
Move Method	com.facebook.presto.bytecode.control.IfStatement::condition(com.facebook.presto.bytecode.BytecodeNode):com.facebook.presto.bytecode.control.IfStatement	com.facebook.presto.bytecode.BytecodeBlock	1/2	
Move Method	com.facebook.presto.bytecode.control.IfStatement::ifTrue(com.facebook.presto.bytecode.BytecodeNode):com.facebook.presto.bytecode.control.IfStatement	com.facebook.presto.bytecode.BytecodeBlock	1/2	
Move Method	com.facebook.presto.bytecode.control.IfStatement::ifFalse(com.facebook.presto.bytecode.BytecodeNode):com.facebook.presto.bytecode.control.IfStatement	com.facebook.presto.bytecode.BytecodeBlock	1/2	
Move Method	com.facebook.presto.bytecode.control.WhileLoop::condition(com.facebook.presto.bytecode.BytecodeNode):com.facebook.presto.bytecode.control.WhileLoop	com.facebook.presto.bytecode.BytecodeBlock	1/2	
Move Method	com.facebook.presto.bytecode.control.WhileLoop::body(com.facebook.presto.bytecode.BytecodeNode):com.facebook.presto.bytecode.control.WhileLoop	com.facebook.presto.bytecode.BytecodeBlock	1/2	
Move Method	com.facebook.presto.bytecode.BytecodeBlock::putField(com.facebook.presto.bytecode.FieldDefinition):com.facebook.presto.bytecode.BytecodeBlock	com.facebook.presto.bytecode.FieldDefinition	2/4	
Move Method	com.facebook.presto.bytecode.BytecodeBlock::putStaticField(com.facebook.presto.bytecode.ParameterizedType, com.facebook.presto.bytecode.FieldDefinition):com.facebook.presto.bytecode.BytecodeBlock	com.facebook.presto.bytecode.FieldDefinition	2/3	
