Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	org.springframework.transaction.jta.JtaTransactionManager::applyTimeout(org.springframework.transaction.jta.JtaTransactionObject, int):void	org.springframework.transaction.jta.JtaTransactionObject	0/2	
Move Method	org.springframework.transaction.reactive.AbstractReactiveTransactionManager::prepareSynchronization(org.springframework.transaction.reactive.TransactionSynchronizationManager, org.springframework.transaction.reactive.GenericReactiveTransaction, org.springframework.transaction.TransactionDefinition):void	org.springframework.transaction.reactive.GenericReactiveTransaction	0/2	
Move Method	org.springframework.transaction.support.AbstractPlatformTransactionManager::prepareSynchronization(org.springframework.transaction.support.DefaultTransactionStatus, org.springframework.transaction.TransactionDefinition):void	org.springframework.transaction.support.DefaultTransactionStatus	0/2	
Move Method	org.springframework.transaction.interceptor.TransactionAspectSupport::cleanupTransactionInfo(org.springframework.transaction.interceptor.TransactionAspectSupport.TransactionInfo):void	org.springframework.transaction.interceptor.TransactionAspectSupport.TransactionInfo	0/1	
Move Method	org.springframework.transaction.reactive.AbstractReactiveTransactionManager::newReactiveTransaction(org.springframework.transaction.reactive.TransactionSynchronizationManager, org.springframework.transaction.TransactionDefinition, java.lang.Object, boolean, boolean, java.lang.Object):org.springframework.transaction.reactive.GenericReactiveTransaction	org.springframework.transaction.reactive.TransactionSynchronizationManager	0/1	
Move Method	org.springframework.transaction.reactive.AbstractReactiveTransactionManager::doSuspendSynchronization(org.springframework.transaction.reactive.TransactionSynchronizationManager):reactor.core.publisher.Mono<java.util.List<org.springframework.transaction.reactive.TransactionSynchronization>>	org.springframework.transaction.reactive.TransactionSynchronizationManager	0/1	
Move Method	org.springframework.transaction.reactive.AbstractReactiveTransactionManager::doResumeSynchronization(org.springframework.transaction.reactive.TransactionSynchronizationManager, java.util.List<org.springframework.transaction.reactive.TransactionSynchronization>):reactor.core.publisher.Mono<java.lang.Void>	org.springframework.transaction.reactive.TransactionSynchronizationManager	0/1	
Move Method	org.springframework.transaction.interceptor.TransactionAspectSupport::completeTransactionAfterThrowing(org.springframework.transaction.interceptor.TransactionAspectSupport.TransactionInfo, java.lang.Throwable):void	org.springframework.transaction.interceptor.TransactionAspectSupport.TransactionInfo	1/4	
Move Method	org.springframework.transaction.interceptor.TransactionAspectSupport.ReactiveTransactionSupport::completeTransactionAfterThrowing(org.springframework.transaction.interceptor.TransactionAspectSupport.ReactiveTransactionInfo, java.lang.Throwable):reactor.core.publisher.Mono<java.lang.Void>	org.springframework.transaction.interceptor.TransactionAspectSupport.ReactiveTransactionInfo	1/4	
Move Method	org.springframework.transaction.interceptor.TransactionAspectSupport::commitTransactionAfterReturning(org.springframework.transaction.interceptor.TransactionAspectSupport.TransactionInfo):void	org.springframework.transaction.interceptor.TransactionAspectSupport.TransactionInfo	1/3	
Move Method	org.springframework.transaction.interceptor.TransactionAspectSupport.ReactiveTransactionSupport::commitTransactionAfterReturning(org.springframework.transaction.interceptor.TransactionAspectSupport.ReactiveTransactionInfo):reactor.core.publisher.Mono<java.lang.Void>	org.springframework.transaction.interceptor.TransactionAspectSupport.ReactiveTransactionInfo	1/3	
Move Method	org.springframework.transaction.reactive.AbstractReactiveTransactionManager::triggerBeforeCommit(org.springframework.transaction.reactive.TransactionSynchronizationManager, org.springframework.transaction.reactive.GenericReactiveTransaction):reactor.core.publisher.Mono<java.lang.Void>	org.springframework.transaction.reactive.GenericReactiveTransaction	1/3	
Move Method	org.springframework.transaction.support.AbstractPlatformTransactionManager::triggerBeforeCommit(org.springframework.transaction.support.DefaultTransactionStatus):void	org.springframework.transaction.support.DefaultTransactionStatus	1/3	
Move Method	org.springframework.transaction.reactive.AbstractReactiveTransactionManager::triggerBeforeCompletion(org.springframework.transaction.reactive.TransactionSynchronizationManager, org.springframework.transaction.reactive.GenericReactiveTransaction):reactor.core.publisher.Mono<java.lang.Void>	org.springframework.transaction.reactive.GenericReactiveTransaction	1/2	
Move Method	org.springframework.transaction.reactive.AbstractReactiveTransactionManager::triggerAfterCommit(org.springframework.transaction.reactive.TransactionSynchronizationManager, org.springframework.transaction.reactive.GenericReactiveTransaction):reactor.core.publisher.Mono<java.lang.Void>	org.springframework.transaction.reactive.GenericReactiveTransaction	1/2	
Move Method	org.springframework.transaction.support.AbstractPlatformTransactionManager::triggerBeforeCompletion(org.springframework.transaction.support.DefaultTransactionStatus):void	org.springframework.transaction.support.DefaultTransactionStatus	1/2	
Move Method	org.springframework.transaction.support.AbstractPlatformTransactionManager::triggerAfterCommit(org.springframework.transaction.support.DefaultTransactionStatus):void	org.springframework.transaction.support.DefaultTransactionStatus	1/2	
Move Method	org.springframework.transaction.reactive.AbstractReactiveTransactionManager::resume(org.springframework.transaction.reactive.TransactionSynchronizationManager, java.lang.Object, org.springframework.transaction.reactive.AbstractReactiveTransactionManager.SuspendedResourcesHolder):reactor.core.publisher.Mono<java.lang.Void>	org.springframework.transaction.reactive.AbstractReactiveTransactionManager.SuspendedResourcesHolder	2/6	
Move Method	org.springframework.transaction.support.AbstractPlatformTransactionManager::resume(java.lang.Object, org.springframework.transaction.support.AbstractPlatformTransactionManager.SuspendedResourcesHolder):void	org.springframework.transaction.support.AbstractPlatformTransactionManager.SuspendedResourcesHolder	2/6	
