Refactoring Type	Source Method	Target Class
Move Method	org.broadleafcommerce.openadmin.server.dao.provider.metadata.BasicFieldMetadataProvider::canHandleFieldForConfiguredMetadata(AddMetadataRequest, Map<String,FieldMetadata>):boolean	org.broadleafcommerce.openadmin.server.dao.provider.metadata.request.AddMetadataRequest
Move Method	org.broadleafcommerce.openadmin.server.dao.provider.metadata.BasicFieldMetadataProvider::canHandleAnnotationOverride(OverrideViaAnnotationRequest, Map<String,FieldMetadata>):boolean	org.broadleafcommerce.openadmin.server.dao.provider.metadata.request.OverrideViaAnnotationRequest
Move Method	org.broadleafcommerce.openadmin.server.service.persistence.PersistenceManagerImpl::setMainEntityName(PersistencePackage, Entity):void	org.broadleafcommerce.openadmin.dto.Entity
Move Method	org.broadleafcommerce.openadmin.server.dao.provider.metadata.AdornedTargetCollectionFieldMetadataProvider::canHandleAnnotationOverride(OverrideViaAnnotationRequest, Map<String,FieldMetadata>):boolean	org.broadleafcommerce.openadmin.server.dao.provider.metadata.request.OverrideViaAnnotationRequest
Move Method	org.broadleafcommerce.openadmin.server.service.persistence.module.provider.MediaFieldPersistenceProvider::extractParent(PopulateValueRequest, Serializable):Object	org.broadleafcommerce.openadmin.server.service.persistence.module.provider.request.PopulateValueRequest
Move Method	org.broadleafcommerce.openadmin.server.service.persistence.module.provider.FieldPersistenceProviderAdapter::checkDirtyState(PopulateValueRequest, Object, Object):boolean	org.broadleafcommerce.openadmin.server.service.persistence.module.provider.request.PopulateValueRequest
Move Method	org.broadleafcommerce.openadmin.server.service.persistence.module.provider.RuleFieldPersistenceProvider::canHandleExtraction(ExtractValueRequest, Property):boolean	org.broadleafcommerce.openadmin.server.service.persistence.module.provider.request.ExtractValueRequest
Move Method	org.broadleafcommerce.openadmin.server.dao.provider.metadata.CollectionFieldMetadataProvider::canHandleFieldForConfiguredMetadata(AddMetadataRequest, Map<String,FieldMetadata>):boolean	org.broadleafcommerce.openadmin.server.dao.provider.metadata.request.AddMetadataRequest
Move Method	org.broadleafcommerce.openadmin.server.service.persistence.module.provider.RuleFieldPersistenceProvider::convertQuantityBasedRuleToJson(MVELToDataWrapperTranslator, ObjectMapper, Collection<QuantityBasedRule>, String, String):Property	org.broadleafcommerce.openadmin.server.service.persistence.module.provider.RuleFieldExtractionUtility
Move Method	org.broadleafcommerce.openadmin.server.service.persistence.module.provider.MediaFieldPersistenceProvider::getStartingValueType(PopulateValueRequest):Class<?>	org.broadleafcommerce.openadmin.server.service.persistence.module.provider.request.PopulateValueRequest
