Refactoring Type	Source Method	Target Class
Move Method	org.apereo.cas.support.saml.web.idp.profile.builders.SamlProfileSamlAuthNStatementBuilder::buildAuthnStatement(Assertion, AuthnRequest, SamlRegisteredServiceServiceProviderMetadataFacade, SamlRegisteredService, String):AuthnStatement	org.apereo.cas.support.saml.web.idp.profile.builders.AuthnContextClassRefBuilder
Move Method	org.apereo.cas.support.saml.web.idp.profile.builders.response.BaseSamlProfileSamlResponseBuilder::buildEntityIssuer():Issuer	org.apereo.cas.support.saml.web.idp.profile.builders.enc.BaseSamlObjectSigner
Move Method	org.apereo.cas.support.saml.web.idp.profile.AbstractSamlProfileHandlerController::buildSamlResponse(HttpServletResponse, HttpServletRequest, Pair<AuthnRequest,MessageContext>, Assertion, String):void	org.apereo.cas.support.saml.web.idp.profile.builders.SamlProfileObjectBuilder
Move Method	org.apereo.cas.support.saml.web.idp.profile.slo.AbstractSamlSLOProfileHandlerController::handleSloProfileRequest(HttpServletResponse, HttpServletRequest, BaseHttpServletRequestXMLMessageDecoder):void	org.apereo.cas.support.saml.web.idp.profile.builders.enc.SamlObjectSignatureValidator
Move Method	org.apereo.cas.support.saml.web.idp.profile.ECPProfileHandlerController::buildEcpCasAssertion(Authentication, Service, RegisteredService):Assertion	org.apereo.cas.support.saml.web.idp.profile.builders.SamlProfileObjectBuilder
Move Method	org.apereo.cas.support.saml.web.idp.profile.builders.response.BaseSamlProfileSamlResponseBuilder::buildSamlAssertion(AuthnRequest, HttpServletRequest, HttpServletResponse, org.jasig.cas.client.validation.Assertion, SamlRegisteredService, SamlRegisteredServiceServiceProviderMetadataFacade, String):Assertion	org.apereo.cas.support.saml.web.idp.profile.builders.SamlProfileObjectBuilder
Move Method	org.apereo.cas.support.saml.web.idp.profile.builders.response.SamlProfileSamlSoap11ResponseBuilder::buildSaml2Response(org.jasig.cas.client.validation.Assertion, AuthnRequest, SamlRegisteredService, SamlRegisteredServiceServiceProviderMetadataFacade, HttpServletRequest, String):org.opensaml.saml.saml2.core.Response	org.apereo.cas.support.saml.web.idp.profile.builders.SamlProfileObjectBuilder
Move Method	org.apereo.cas.support.saml.web.idp.profile.builders.SamlProfileSamlAssertionBuilder::signAssertion(Assertion, HttpServletRequest, HttpServletResponse, SamlRegisteredService, SamlRegisteredServiceServiceProviderMetadataFacade, String):void	org.apereo.cas.support.saml.web.idp.profile.builders.SamlProfileObjectBuilder
Move Method	org.apereo.cas.support.saml.web.idp.profile.AbstractSamlProfileHandlerController::getSamlMetadataFacadeFor(SamlRegisteredService, AuthnRequest):Optional<SamlRegisteredServiceServiceProviderMetadataFacade>	org.apereo.cas.support.saml.web.idp.profile.builders.SamlProfileObjectBuilder
Move Method	org.apereo.cas.support.saml.web.idp.profile.ECPProfileHandlerController::buildEcpFaultResponse(HttpServletResponse, HttpServletRequest, Pair<AuthnRequest,String>):void	org.apereo.cas.support.saml.web.idp.profile.builders.SamlProfileObjectBuilder
Move Method	org.apereo.cas.support.saml.web.idp.profile.builders.SamlProfileSamlAuthNStatementBuilder::buildSubjectLocality(Assertion, AuthnRequest, SamlRegisteredServiceServiceProviderMetadataFacade, String):SubjectLocality	org.apereo.cas.support.saml.web.idp.profile.builders.AuthnContextClassRefBuilder
Move Method	org.apereo.cas.support.saml.web.idp.profile.IdPInitiatedProfileHandlerController::handleIdPInitiatedSsoRequest(HttpServletResponse, HttpServletRequest):void	org.apereo.cas.support.saml.web.idp.profile.builders.enc.BaseSamlObjectSigner
Move Method	org.apereo.cas.support.saml.web.idp.profile.AbstractSamlProfileHandlerController::handleUnauthorizedServiceException(HttpServletRequest, Exception):ModelAndView	org.apereo.cas.support.saml.web.idp.profile.builders.SamlProfileObjectBuilder
