Refactoring Type	Source Method	Target Class
Move Method	org.drools.workbench.models.commons.backend.rule.RuleModelDRLPersistenceImpl.LHSPatternVisitor::generateFactPattern(FactPattern, LHSGeneratorContext):void	org.drools.workbench.models.commons.backend.rule.context.LHSGeneratorContext
Move Method	org.drools.workbench.models.commons.backend.rule.RuleModelDRLPersistenceImpl.LHSPatternVisitor::visitFactPattern(FactPattern):void	org.drools.workbench.models.commons.backend.rule.context.LHSGeneratorContextFactory
Move Method	org.drools.workbench.models.commons.backend.rule.RuleModelDRLPersistenceImpl::getFactPattern(RuleModel, PatternDescr, boolean, Map<String,String>, PackageDataModelOracle):FactPattern	org.drools.workbench.models.commons.backend.rule.RuleModelPersistence
Move Method	org.drools.workbench.models.commons.backend.rule.RuleModelDRLPersistenceImpl.LHSPatternVisitor::generateSeparator(FieldConstraint, LHSGeneratorContext):void	org.drools.workbench.models.commons.backend.rule.context.LHSGeneratorContext
Move Method	org.drools.workbench.models.commons.backend.rule.RuleModelDRLPersistenceImpl.LHSPatternVisitor::visitFromCompositeFactPattern(FromCompositeFactPattern, boolean):void	org.drools.workbench.models.commons.backend.rule.context.LHSGeneratorContextFactory
Move Method	org.drools.workbench.models.commons.backend.rule.RuleModelDRLPersistenceImpl::addSetterToAction(ActionFieldList, String, Map<String,String>, PackageDataModelOracle, RuleModel, boolean, String, String):void	org.drools.workbench.models.commons.backend.rule.RuleModelPersistence
Move Method	org.drools.workbench.models.commons.backend.rule.RuleModelDRLPersistenceImpl::parsePatternDescr(RuleModel, PatternDescr, boolean, Map<String,String>, PackageDataModelOracle):IFactPattern	org.drools.workbench.models.commons.backend.rule.RuleModelPersistence
Move Method	org.drools.workbench.models.commons.backend.rule.RuleModelDRLPersistenceImpl::getRuleModel(ExpandedDRLInfo, PackageDataModelOracle, Collection<RuleModelIActionPersistenceExtension>):RuleModel	org.drools.workbench.models.commons.backend.rule.RuleModelPersistence
Move Method	org.drools.workbench.models.commons.backend.rule.RuleModelDRLPersistenceImpl::parsePatternSource(RuleModel, PatternDescr, PatternSourceDescr, boolean, Map<String,String>, PackageDataModelOracle):IFactPattern	org.drools.workbench.models.commons.backend.rule.RuleModelPersistence
Move Method	org.drools.workbench.models.commons.backend.rule.RuleModelDRLPersistenceImpl::parseLhs(RuleModel, AndDescr, boolean, ExpandedDRLInfo, PackageDataModelOracle):Map<String,String>	org.drools.workbench.models.commons.backend.rule.RuleModelPersistence
Move Method	org.drools.workbench.models.commons.backend.rule.RuleModelDRLPersistenceImpl::parseAttributes(RuleModel, Map<String,AttributeDescr>):boolean	org.drools.workbench.models.commons.backend.rule.RuleModelPersistence
Move Method	org.drools.workbench.models.commons.backend.rule.RuleModelDRLPersistenceImpl::getActionCallMethod(RuleModel, boolean, Map<String,String>, PackageDataModelOracle, String, String, String):IAction	org.drools.workbench.models.commons.backend.rule.RuleModelPersistence
Move Method	org.drools.workbench.models.commons.backend.rule.RuleModelDRLPersistenceImpl::parseRhs(RuleModel, String, boolean, Map<String,String>, ExpandedDRLInfo, PackageDataModelOracle, Collection<RuleModelIActionPersistenceExtension>):void	org.drools.workbench.models.commons.backend.rule.RuleModelPersistence
Move Method	org.drools.workbench.models.commons.backend.rule.RuleModelDRLPersistenceImpl.RHSActionVisitor::generateModifyMethodCalls(ActionFieldValue[], RHSGeneratorContext):void	org.drools.workbench.models.commons.backend.rule.context.RHSGeneratorContextFactory
Move Method	org.drools.workbench.models.commons.backend.rule.RuleModelDRLPersistenceImpl.LHSPatternVisitor::generateConstraints(FactPattern, LHSGeneratorContext):void	org.drools.workbench.models.commons.backend.rule.context.LHSGeneratorContextFactory
Move Method	org.drools.workbench.models.commons.backend.rule.RuleModelDRLPersistenceImpl::marshalRHS(StringBuilder, RuleModel, boolean, RHSGeneratorContextFactory):void	org.drools.workbench.models.commons.backend.rule.context.RHSGeneratorContextFactory
Move Method	org.drools.workbench.models.commons.backend.rule.RuleModelDRLPersistenceImpl::addSettersToAction(List<String>, ActionFieldList, String, Map<String,String>, PackageDataModelOracle, RuleModel, boolean):void	org.drools.workbench.models.commons.backend.rule.RuleModelPersistence
Move Method	org.drools.workbench.models.commons.backend.rule.RuleModelDRLPersistenceImpl::addModifiersToAction(String, ActionFieldList, String, Map<String,String>, PackageDataModelOracle, RuleModel, boolean):void	org.drools.workbench.models.commons.backend.rule.RuleModelPersistence
Move Method	org.drools.workbench.models.commons.backend.rule.RuleModelDRLPersistenceImpl::getSimpleRuleModel(String):RuleModel	org.drools.workbench.models.commons.backend.rule.RuleModelPersistence
Move Method	org.drools.workbench.models.commons.backend.rule.RuleModelDRLPersistenceImpl.LHSPatternVisitor::renderSubPattern(CompositeFactPattern, int):void	org.drools.workbench.models.commons.backend.rule.context.LHSGeneratorContextFactory
Move Method	org.drools.workbench.models.commons.backend.rule.RuleModelDRLPersistenceImpl::parseExistentialElementDescr(RuleModel, ConditionalElementDescr, boolean, Map<String,String>, PackageDataModelOracle):CompositeFactPattern	org.drools.workbench.models.commons.backend.rule.RuleModelPersistence
Move Method	org.drools.workbench.models.commons.backend.rule.RuleModelDRLPersistenceImpl.LHSPatternVisitor::generateSingleFieldConstraint(SingleFieldConstraint, LHSGeneratorContext):void	org.drools.workbench.models.commons.backend.rule.context.LHSGeneratorContext
Move Method	org.drools.workbench.models.commons.backend.rule.RuleModelDRLPersistenceImpl.RHSActionVisitor::visitActionUpdateField(ActionUpdateField):void	org.drools.workbench.models.commons.backend.rule.context.RHSGeneratorContextFactory
Move Method	org.drools.workbench.models.commons.backend.rule.RuleModelDRLPersistenceImpl::addSettersToAction(Map<String,List<String>>, String, ActionFieldList, Map<String,String>, PackageDataModelOracle, RuleModel, boolean):void	org.drools.workbench.models.commons.backend.rule.RuleModelPersistence
Move Method	org.drools.workbench.models.commons.backend.rule.RuleModelDRLPersistenceImpl::getSettedField(RuleModel, String, String, PackageDataModelOracle):String	org.drools.workbench.models.commons.backend.rule.RuleModelPersistence
Move Method	org.drools.workbench.models.commons.backend.rule.RuleModelDRLPersistenceImpl.LHSPatternVisitor::visitFromEntryPointFactPattern(FromEntryPointFactPattern, boolean):void	org.drools.workbench.models.commons.backend.rule.context.LHSGeneratorContextFactory
Move Method	org.drools.workbench.models.commons.backend.rule.RuleModelDRLPersistenceImpl::marshalLHS(StringBuilder, RuleModel, boolean, LHSGeneratorContextFactory):void	org.drools.workbench.models.commons.backend.rule.RuleModelPersistence
Move Method	org.drools.workbench.models.commons.backend.rule.RuleModelDRLPersistenceImpl.LHSPatternVisitor::generateConnectiveFieldRestriction(SingleFieldConstraint, Map<String,String>, LHSGeneratorContext):void	org.drools.workbench.models.commons.backend.rule.context.LHSGeneratorContextFactory
Move Method	org.drools.workbench.models.commons.backend.rule.RuleModelDRLPersistenceImpl::parseConstraint(RuleModel, FactPattern, ConditionalElementDescr, boolean, Map<String,String>, PackageDataModelOracle):void	org.drools.workbench.models.commons.backend.rule.RuleModelPersistence
