Refactoring Type	Source Method	Target Class
Move Method	net.java.sip.communicator.service.protocol.ProtocolProviderFactory::getProviderForAccount(AccountID):ServiceReference<ProtocolProviderService>	net.java.sip.communicator.service.protocol.AccountID
Move Method	net.java.sip.communicator.impl.protocol.sip.ProtocolProviderServiceSipImpl::registerUsingNextAddress():boolean	net.java.sip.communicator.impl.protocol.sip.SipRegistrarConnection
Move Method	net.java.sip.communicator.impl.protocol.jabber.ProtocolProviderServiceJabberImpl::getOurJID():String	net.java.sip.communicator.impl.protocol.jabber.extensions.keepalive.KeepAliveManager
Move Method	net.java.sip.communicator.impl.gui.main.contactlist.contactsource.SourceUIContact::addDetailsToToolTip(List<ContactDetail>, String, ExtendedTooltip):void	net.java.sip.communicator.plugin.desktoputil.ExtendedTooltip
Move Method	net.java.sip.communicator.slick.protocol.yahoo.TestOperationSetAdHocMultiUserChatYahooImpl::testRegisterAccount3():void	net.java.sip.communicator.slick.protocol.generic.AdHocMultiUserChatSlickFixture
Move Method	net.java.sip.communicator.slick.protocol.gibberish.TestProtocolProviderServiceGibberishImpl::testOperationSetTypes():void	net.java.sip.communicator.slick.protocol.gibberish.GibberishSlickFixture
Move Method	net.java.sip.communicator.impl.protocol.sip.OperationSetDesktopSharingClientSipImpl::notifySubscriptions(CallPeer):void	net.java.sip.communicator.util.Logger
Move Method	net.java.sip.communicator.impl.gui.main.call.DialPanel::createDialButton(Image, ImageID, String):JButton	net.java.sip.communicator.service.resources.ImageID
Move Method	net.java.sip.communicator.impl.protocol.jabber.ProtocolProviderServiceJabberImpl::getNextHop():InetAddress	net.java.sip.communicator.impl.protocol.jabber.extensions.keepalive.KeepAliveManager
Move Method	net.java.sip.communicator.impl.protocol.sip.CallPeerMediaHandlerSipImpl::getUserName():String	net.java.sip.communicator.impl.protocol.sip.QualityControlWrapper
Move Method	net.java.sip.communicator.plugin.aimaccregwizz.FirstWizardPage::loadAccount(ProtocolProviderService):void	net.java.sip.communicator.plugin.aimaccregwizz.AimAccountRegistrationWizard
Move Method	net.java.sip.communicator.impl.gui.main.chat.ChatConversationComponent::openFile(File):void	net.java.sip.communicator.util.Logger
Move Method	net.java.sip.communicator.plugin.notificationwiring.NotificationManager::stopSound(NotificationData):void	net.java.sip.communicator.service.notification.NotificationData
Move Method	net.java.sip.communicator.impl.protocol.sip.OperationSetDesktopStreamingSipImpl::addDesktopShareHeader(javax.sip.message.Message):void	net.java.sip.communicator.impl.protocol.sip.ProtocolProviderServiceSipImpl
Move Method	net.java.sip.communicator.impl.protocol.jabber.ProtocolProviderServiceJabberImpl::getSSLSocket():SSLSocket	net.java.sip.communicator.impl.protocol.jabber.extensions.version.VersionManager
Move Method	net.java.sip.communicator.impl.protocol.sip.security.SipSecurityManager::createCcEntryWithNewCredentials(String, int):CredentialsCacheEntry	net.java.sip.communicator.service.protocol.AccountID
Move Method	net.java.sip.communicator.impl.gui.main.chat.ChatConversationPanel::processReplacers(String, Replacer[]):String	net.java.sip.communicator.util.Logger
Move Method	net.java.sip.communicator.impl.gui.main.chat.MetaContactChatSession::initChatTransports(Contact, ContactResource):void	net.java.sip.communicator.service.protocol.ContactResource
Move Method	net.java.sip.communicator.impl.protocol.jabber.ServerStoredContactListJabberImpl::searchForCustomAvatar(String):byte[]	net.java.sip.communicator.impl.protocol.jabber.InfoRetreiver
Move Method	net.java.sip.communicator.slick.protocol.yahoo.TestAccountUninstallation::testInstallationPersistency():void	net.java.sip.communicator.slick.protocol.yahoo.YahooSlickFixture
Move Method	net.java.sip.communicator.service.protocol.media.MediaHandler::getEncryptionMethod(CallPeerMediaHandler<?>, MediaType):SrtpControl	net.java.sip.communicator.service.protocol.media.SrtpControls
Move Method	net.java.sip.communicator.plugin.chatalerter.ChatAlerterActivator::alertWindow(WindowID):void	net.java.sip.communicator.util.Logger
Move Method	net.java.sip.communicator.impl.protocol.jabber.OperationSetTelephonyConferencingJabberImpl::getConferenceInfo(CallPeerJabberImpl, ConferenceInfoDocument):IQ	net.java.sip.communicator.impl.protocol.jabber.CallPeerJabberImpl
Move Method	net.java.sip.communicator.service.protocol.media.MediaHandler::setOutputVolumeControl(AudioMediaStream, MediaAwareCall<?,?,?>):void	net.java.sip.communicator.service.protocol.media.MediaAwareCall
Move Method	net.java.sip.communicator.service.protocol.media.MediaHandler::initStream(CallPeerMediaHandler<?>, StreamConnector, MediaDevice, MediaFormat, MediaStreamTarget, MediaDirection, List<RTPExtension>, boolean):MediaStream	net.java.sip.communicator.service.protocol.media.SrtpControls
