com.badlogic.gdx.backends.android.AndroidApplication.getBaseContext();AndroidFiles
com.badlogic.gdx.backends.lwjgl3.Lwjgl3Graphics.setCursor(com.badlogic.gdx.graphics.Cursor);Lwjgl3Cursor
com.badlogic.gdx.backends.lwjgl3.Lwjgl3Graphics.setSystemCursor(com.badlogic.gdx.graphics.Cursor$SystemCursor);Lwjgl3Cursorcom.badlogic.gdx.backends.iosmoe.IOSUIViewController.setPaused(boolean);IOSGraphics
com.badlogic.gdx.backends.iosmoe.IOSUIViewController.viewWillAppear(boolean);IOSGraphics
com.badlogic.gdx.backends.iosmoe.objectal.OALAudioSession.forceEndInterruption();IOSApplication
com.badlogic.gdx.backends.iosmoe.objectal.OALAudioSession.sharedInstance();IOSApplication
com.badlogic.gwtref.client.Type.getField(java.lang.String);Field
com.badlogic.gwtref.client.Type.getDeclaredField(java.lang.String);Field
com.badlogic.gdx.backends.gwt.widgets.PlaceholderTextBox.getText();TextInputDialogBox
com.badlogic.gdx.backends.gwt.widgets.ProgressBar.onUnload();ResizableWidgetCollection
org.jbox2d.callbacks.DebugDraw.drawString(org.jbox2d.common.Vec2, java.lang.String, org.jbox2d.common.Color3f);ConstantVolumeJoint
org.jbox2d.callbacks.DebugDraw.drawString(float, float, java.lang.String, org.jbox2d.common.Color3f);ConstantVolumeJoint
com.badlogic.gdx.physics.box2d.joints.PrismaticJoint.localAxisA;WeldJoint
com.badlogic.gdx.physics.box2d.joints.PrismaticJoint.localAnchorA;WeldJoint
com.badlogic.gdx.physics.box2d.joints.PrismaticJoint.localAnchorB;WeldJoint
com.badlogic.gdx.physics.box2d.joints.PrismaticJoint.getLocalAxisA();WeldJoint
com.badlogic.gdx.physics.box2d.joints.PrismaticJoint.getLocalAnchorA();WeldJoint
com.badlogic.gdx.physics.box2d.joints.PrismaticJoint.getLocalAnchorB();WeldJoint
com.badlogic.gdx.physics.box2d.joints.PulleyJoint.groundAnchorB;WeldJoint
com.badlogic.gdx.physics.box2d.joints.PulleyJoint.getGroundAnchorB();WeldJoint
com.badlogic.gdx.physics.box2d.joints.PulleyJoint.getGroundAnchorA();WeldJoint
com.badlogic.gdx.physics.box2d.joints.PulleyJoint.groundAnchorA;WeldJoint
org.jbox2d.particle.ParticleSystem.destroyParticlesInGroup(org.jbox2d.particle.ParticleGroup, boolean);ParticleGroup
com.badlogic.gdx.tools.hiero.Kerning.scale;BMFontUtil
com.badlogic.gdx.tools.hiero.Kerning.storeKerningOffset(int, int, int);BMFontUtil
com.badlogic.gdx.tools.hiero.Kerning.getKernings();BMFontUtil
com.badlogic.gdx.tools.hiero.Kerning.kernings;BMFontUtil
com.badlogic.gdx.tools.flame.FlameMain.getParticleEffects(com.badlogic.gdx.utils.Array, com.badlogic.gdx.utils.Array);ParticleControllerInfluencerPanel
com.badlogic.gdx.tools.flame.FlameMain.assetManager;ParticleControllerInfluencerPanel
com.badlogic.gdx.tools.flame.FlameMain.getAtlas(com.badlogic.gdx.graphics.Texture);ParticleControllerInfluencerPanel
com.badlogic.gdx.tools.particleeditor.ParticleEditor.worldCamera;EffectPanel
com.badlogic.gdx.tools.particleeditor.ParticleEditor.effectFile;EffectPanel
com.badlogic.gdx.tools.particleeditor.ParticleEditor.reloadRows();EffectPanel
com.badlogic.gdx.tools.particleeditor.ParticleEditor.effect;EffectPanel
com.badlogic.gdx.tools.particleeditor.ParticleEditor.getEmitter();EffectPanel
